#                               L = 64, y = a/2
#================================================================
#x               Numerical       Analytical      
#================================================================
0               0               0               
0.015625        0.0078125       0.00780972      
0.03125         0.0156083       0.0156027       
0.046875        0.0233708       0.0233624       
0.0625          0.0310831       0.0310719       
0.078125        0.0387288       0.0387147       
0.09375         0.046291        0.046274        
0.109375        0.0537531       0.0537331       
0.125           0.0610985       0.0610755       
0.140625        0.0683106       0.0682844       
0.15625         0.0753727       0.0753434       
0.171875        0.0822684       0.0822358       
0.1875          0.0889813       0.0889454       
0.203125        0.0954951       0.0954558       
0.21875         0.101794        0.101751        
0.234375        0.107861        0.107815        
0.25            0.113681        0.113632        
0.265625        0.11924         0.119186        
0.28125         0.124521        0.124464        
0.296875        0.12951         0.12945         
0.3125          0.134193        0.134129        
0.328125        0.138557        0.13849         
0.34375         0.142588        0.142518        
0.359375        0.146275        0.146202        
0.375           0.149606        0.14953         
0.390625        0.152572        0.152493        
0.40625         0.155161        0.15508         
0.421875        0.157367        0.157284        
0.4375          0.159182        0.159097        
0.453125        0.1606          0.160513        
0.46875         0.161616        0.161529        
0.484375        0.162227        0.162139        
0.5             0.162431        0.162343        
0.515625        0.162227        0.162139        
0.53125         0.161616        0.161529        
0.546875        0.1606          0.160513        
0.5625          0.159182        0.159097        
0.578125        0.157367        0.157284        
0.59375         0.155161        0.15508         
0.609375        0.152572        0.152493        
0.625           0.149606        0.14953         
0.640625        0.146275        0.146202        
0.65625         0.142588        0.142518        
0.671875        0.138557        0.13849         
0.6875          0.134193        0.134129        
0.703125        0.12951         0.12945         
0.71875         0.124521        0.124464        
0.734375        0.11924         0.119186        
0.75            0.113681        0.113632        
0.765625        0.107861        0.107815        
0.78125         0.101794        0.101751        
0.796875        0.0954951       0.0954558       
0.8125          0.0889813       0.0889454       
0.828125        0.0822684       0.0822358       
0.84375         0.0753727       0.0753434       
0.859375        0.0683106       0.0682844       
0.875           0.0610985       0.0610755       
0.890625        0.0537531       0.0537331       
0.90625         0.046291        0.046274        
0.921875        0.0387288       0.0387147       
0.9375          0.0310831       0.0310719       
0.953125        0.0233708       0.0233624       
0.96875         0.0156083       0.0156027       
0.984375        0.0078125       0.00780972      
1               0               1.94909e-17     
