#                               L = 75
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0               0               0               0               
0               0.0133333       0               0               
0               0.0266667       0               0               
0               0.04            0               0               
0               0.0533333       0               0               
0               0.0666667       0               0               
0               0.08            0               0               
0               0.0933333       0               0               
0               0.106667        0               0               
0               0.12            0               0               
0               0.133333        0               0               
0               0.146667        0               0               
0               0.16            0               0               
0               0.173333        0               0               
0               0.186667        0               0               
0               0.2             0               0               
0               0.213333        0               0               
0               0.226667        0               0               
0               0.24            0               0               
0               0.253333        0               0               
0               0.266667        0               0               
0               0.28            0               0               
0               0.293333        0               0               
0               0.306667        0               0               
0               0.32            0               0               
0               0.333333        0               0               
0               0.346667        0               0               
0               0.36            0               0               
0               0.373333        0               0               
0               0.386667        0               0               
0               0.4             0               0               
0               0.413333        0               0               
0               0.426667        0               0               
0               0.44            0               0               
0               0.453333        0               0               
0               0.466667        0               0               
0               0.48            0               0               
0               0.493333        0               0               
0               0.506667        0               0               
0               0.52            0               0               
0               0.533333        0               0               
0               0.546667        0               0               
0               0.56            0               0               
0               0.573333        0               0               
0               0.586667        0               0               
0               0.6             0               0               
0               0.613333        0               0               
0               0.626667        0               0               
0               0.64            0               0               
0               0.653333        0               0               
0               0.666667        0               0               
0               0.68            0               0               
0               0.693333        0               0               
0               0.706667        0               0               
0               0.72            0               0               
0               0.733333        0               0               
0               0.746667        0               0               
0               0.76            0               0               
0               0.773333        0               0               
0               0.786667        0               0               
0               0.8             0               0               
0               0.813333        0               0               
0               0.826667        0               0               
0               0.84            0               0               
0               0.853333        0               0               
0               0.866667        0               0               
0               0.88            0               0               
0               0.893333        0               0               
0               0.906667        0               0               
0               0.92            0               0               
0               0.933333        0               0               
0               0.946667        0               0               
0               0.96            0               0               
0               0.973333        0               0               
0               0.986667        0               0               
0               1               0               0               
0.0133333       0               0               0               
0.0133333       0.0133333       0.000122948     0.00012292      
0.0133333       0.0266667       0.000246108     0.000246053     
0.0133333       0.04            0.000369694     0.000369612     
0.0133333       0.0533333       0.000493918     0.000493809     
0.0133333       0.0666667       0.000618995     0.000618859     
0.0133333       0.08            0.000745141     0.000744978     
0.0133333       0.0933333       0.000872573     0.000872384     
0.0133333       0.106667        0.00100151      0.00100129      
0.0133333       0.12            0.00113217      0.00113193      
0.0133333       0.133333        0.00126479      0.00126452      
0.0133333       0.146667        0.00139958      0.00139929      
0.0133333       0.16            0.00153678      0.00153646      
0.0133333       0.173333        0.00167662      0.00167628      
0.0133333       0.186667        0.00181934      0.00181898      
0.0133333       0.2             0.00196518      0.00196479      
0.0133333       0.213333        0.00211439      0.00211398      
0.0133333       0.226667        0.00226721      0.00226678      
0.0133333       0.24            0.0024239       0.00242345      
0.0133333       0.253333        0.00258473      0.00258426      
0.0133333       0.266667        0.00274995      0.00274946      
0.0133333       0.28            0.00291984      0.00291934      
0.0133333       0.293333        0.00309468      0.00309416      
0.0133333       0.306667        0.00327475      0.00327422      
0.0133333       0.32            0.00346034      0.00345979      
0.0133333       0.333333        0.00365174      0.00365119      
0.0133333       0.346667        0.00384926      0.0038487       
0.0133333       0.36            0.00405321      0.00405264      
0.0133333       0.373333        0.00426389      0.00426333      
0.0133333       0.386667        0.00448164      0.00448108      
0.0133333       0.4             0.00470678      0.00470622      
0.0133333       0.413333        0.00493964      0.00493908      
0.0133333       0.426667        0.00518057      0.00518002      
0.0133333       0.44            0.0054299       0.00542936      
0.0133333       0.453333        0.00568798      0.00568746      
0.0133333       0.466667        0.00595518      0.00595468      
0.0133333       0.48            0.00623184      0.00623136      
0.0133333       0.493333        0.00651833      0.00651788      
0.0133333       0.506667        0.00681501      0.00681459      
0.0133333       0.52            0.00712224      0.00712186      
0.0133333       0.533333        0.00744038      0.00744004      
0.0133333       0.546667        0.00776979      0.00776951      
0.0133333       0.56            0.00811084      0.0081106       
0.0133333       0.573333        0.00846386      0.00846369      
0.0133333       0.586667        0.00882921      0.00882909      
0.0133333       0.6             0.00920721      0.00920716      
0.0133333       0.613333        0.00959818      0.0095982       
0.0133333       0.626667        0.0100024       0.0100025       
0.0133333       0.64            0.0104202       0.0104204       
0.0133333       0.653333        0.0108518       0.0108521       
0.0133333       0.666667        0.0112975       0.0112978       
0.0133333       0.68            0.0117574       0.0117579       
0.0133333       0.693333        0.0122318       0.0122323       
0.0133333       0.706667        0.0127207       0.0127213       
0.0133333       0.72            0.0132242       0.0132249       
0.0133333       0.733333        0.0137424       0.0137432       
0.0133333       0.746667        0.0142753       0.0142762       
0.0133333       0.76            0.0148228       0.0148237       
0.0133333       0.773333        0.0153847       0.0153857       
0.0133333       0.786667        0.0159609       0.015962        
0.0133333       0.8             0.0165511       0.0165522       
0.0133333       0.813333        0.0171549       0.017156        
0.0133333       0.826667        0.0177719       0.0177731       
0.0133333       0.84            0.0184017       0.0184029       
0.0133333       0.853333        0.0190437       0.0190448       
0.0133333       0.866667        0.0196971       0.0196982       
0.0133333       0.88            0.0203613       0.0203624       
0.0133333       0.893333        0.0210354       0.0210365       
0.0133333       0.906667        0.0217186       0.0217196       
0.0133333       0.92            0.0224099       0.0224108       
0.0133333       0.933333        0.0231083       0.023109        
0.0133333       0.946667        0.0238126       0.0238132       
0.0133333       0.96            0.0245218       0.0245223       
0.0133333       0.973333        0.0252347       0.025235        
0.0133333       0.986667        0.0259501       0.0259502       
0.0133333       1               0.0266667       0.0266579       
0.0266667       0               0               0               
0.0266667       0.0133333       0.000245683     0.000245628     
0.0266667       0.0266667       0.000491791     0.000491682     
0.0266667       0.04            0.000738749     0.000738585     
0.0266667       0.0533333       0.000986983     0.000986764     
0.0266667       0.0666667       0.00123692      0.00123665      
0.0266667       0.08            0.001489        0.00148867      
0.0266667       0.0933333       0.00174364      0.00174326      
0.0266667       0.106667        0.00200129      0.00200086      
0.0266667       0.12            0.0022624       0.00226191      
0.0266667       0.133333        0.0025274       0.00252687      
0.0266667       0.146667        0.00279675      0.00279617      
0.0266667       0.16            0.00307092      0.00307029      
0.0266667       0.173333        0.00335037      0.00334968      
0.0266667       0.186667        0.00363556      0.00363484      
0.0266667       0.2             0.003927        0.00392622      
0.0266667       0.213333        0.00422516      0.00422434      
0.0266667       0.226667        0.00453055      0.00452969      
0.0266667       0.24            0.00484367      0.00484277      
0.0266667       0.253333        0.00516505      0.00516412      
0.0266667       0.266667        0.00549523      0.00549426      
0.0266667       0.28            0.00583473      0.00583373      
0.0266667       0.293333        0.00618413      0.00618309      
0.0266667       0.306667        0.00654398      0.00654292      
0.0266667       0.32            0.00691486      0.00691377      
0.0266667       0.333333        0.00729736      0.00729626      
0.0266667       0.346667        0.00769209      0.00769098      
0.0266667       0.36            0.00809967      0.00809854      
0.0266667       0.373333        0.00852072      0.00851959      
0.0266667       0.386667        0.0089559       0.00895476      
