#====================================================
#   t = 1       rho_bar = 0.7     Viscosity = 0
#====================================================
#x              rho
#====================================================
0               0.792954
0.001001        0.790884
0.002002        0.786047
0.003003        0.782371
0.004004        0.781917
0.00500501      0.783959
0.00600601      0.786225
0.00700701      0.786805
0.00800801      0.78545
0.00900901      0.783377
0.01001         0.781986
0.011011        0.781804
0.012012        0.782372
0.013013        0.78284
0.014014        0.782667
0.015015        0.781911
0.016016        0.781017
0.017017        0.780393
0.018018        0.780134
0.019019        0.780059
0.02002         0.77992
0.021021        0.779589
0.022022        0.779111
0.023023        0.778613
0.024024        0.778194
0.025025        0.777865
0.026026        0.777578
0.027027        0.777271
0.028028        0.77692
0.029029        0.776535
0.03003         0.776145
0.031031        0.775773
0.032032        0.77542
0.033033        0.775076
0.034034        0.774731
0.035035        0.774377
0.036036        0.774016
0.037037        0.773653
0.038038        0.773291
0.039039        0.772934
0.04004         0.772579
0.041041        0.772226
0.042042        0.771873
0.043043        0.771517
0.044044        0.771159
0.045045        0.770802
0.046046        0.770445
0.047047        0.77009
0.048048        0.769736
0.049049        0.769382
0.0500501       0.769028
0.0510511       0.768673
0.0520521       0.768317
0.0530531       0.767963
0.0540541       0.767609
0.0550551       0.767255
0.0560561       0.766902
0.0570571       0.766549
0.0580581       0.766195
0.0590591       0.765842
0.0600601       0.765489
0.0610611       0.765137
0.0620621       0.764785
0.0630631       0.764433
0.0640641       0.764081
0.0650651       0.763729
0.0660661       0.763378
0.0670671       0.763027
0.0680681       0.762676
0.0690691       0.762325
0.0700701       0.761975
0.0710711       0.761625
0.0720721       0.761275
0.0730731       0.760925
0.0740741       0.760576
0.0750751       0.760227
0.0760761       0.759878
0.0770771       0.75953
0.0780781       0.759181
0.0790791       0.758834
0.0800801       0.758486
0.0810811       0.758139
0.0820821       0.757792
0.0830831       0.757445
0.0840841       0.757098
0.0850851       0.756752
0.0860861       0.756407
0.0870871       0.756061
0.0880881       0.755716
0.0890891       0.755371
0.0900901       0.755027
0.0910911       0.754683
0.0920921       0.754339
0.0930931       0.753995
0.0940941       0.753652
0.0950951       0.753309
0.0960961       0.752967
0.0970971       0.752625
0.0980981       0.752283
0.0990991       0.751942
0.1001          0.751601
0.101101        0.751261
0.102102        0.750921
0.103103        0.750581
0.104104        0.750241
0.105105        0.749902
0.106106        0.749564
0.107107        0.749226
0.108108        0.748888
0.109109        0.748551
0.11011         0.748214
0.111111        0.747877
0.112112        0.747541
0.113113        0.747206
0.114114        0.746871
0.115115        0.746536
0.116116        0.746202
0.117117        0.745868
0.118118        0.745535
0.119119        0.745202
0.12012         0.74487
0.121121        0.744538
0.122122        0.744207
0.123123        0.743876
0.124124        0.743545
0.125125        0.743215
0.126126        0.742886
0.127127        0.742557
0.128128        0.742229
0.129129        0.741901
0.13013         0.741574
0.131131        0.741247
0.132132        0.740921
0.133133        0.740596
0.134134        0.740271
0.135135        0.739946
0.136136        0.739622
0.137137        0.739299
0.138138        0.738976
0.139139        0.738654
0.14014         0.738333
0.141141        0.738012
0.142142        0.737692
0.143143        0.737372
0.144144        0.737053
0.145145        0.736735
0.146146        0.736417
0.147147        0.7361
0.148148        0.735784
0.149149        0.735468
0.15015         0.735153
0.151151        0.734838
0.152152        0.734525
0.153153        0.734212
0.154154        0.733899
0.155155        0.733588
0.156156        0.733277
0.157157        0.732967
0.158158        0.732658
0.159159        0.732349
0.16016         0.732041
0.161161        0.731734
0.162162        0.731428
0.163163        0.731122
0.164164        0.730818
0.165165        0.730514
0.166166        0.730211
0.167167        0.729909
0.168168        0.729607
0.169169        0.729307
0.17017         0.729007
0.171171        0.728708
0.172172        0.72841
0.173173        0.728113
0.174174        0.727817
0.175175        0.727521
0.176176        0.727227
0.177177        0.726934
0.178178        0.726641
0.179179        0.726349
0.18018         0.726059
0.181181        0.725769
0.182182        0.725481
0.183183        0.725193
0.184184        0.724906
0.185185        0.724621
0.186186        0.724336
0.187187        0.724052
0.188188        0.72377
0.189189        0.723488
0.19019         0.723208
0.191191        0.722929
0.192192        0.72265
0.193193        0.722373
0.194194        0.722097
0.195195        0.721823
0.196196        0.721549
0.197197        0.721276
0.198198        0.721005
0.199199        0.720735
0.2002          0.720466
0.201201        0.720198
0.202202        0.719932
0.203203        0.719667
0.204204        0.719403
0.205205        0.71914
0.206206        0.718879
0.207207        0.718619
0.208208        0.71836
0.209209        0.718103
0.21021         0.717846
0.211211        0.717592
0.212212        0.717338
0.213213        0.717087
0.214214        0.716836
0.215215        0.716587
0.216216        0.716339
0.217217        0.716093
0.218218        0.715849
0.219219        0.715606
0.22022         0.715364
0.221221        0.715124
0.222222        0.714885
0.223223        0.714648
0.224224        0.714413
0.225225        0.714179
0.226226        0.713947
0.227227        0.713716
0.228228        0.713487
0.229229        0.71326
0.23023         0.713034
0.231231        0.71281
0.232232        0.712588
0.233233        0.712368
0.234234        0.712149
0.235235        0.711932
0.236236        0.711717
0.237237        0.711503
0.238238        0.711292
0.239239        0.711082
0.24024         0.710874
0.241241        0.710668
0.242242        0.710464
0.243243        0.710262
0.244244        0.710062
0.245245        0.709863
0.246246        0.709667
0.247247        0.709472
0.248248        0.70928
0.249249        0.70909
0.25025         0.708901
0.251251        0.708715
0.252252        0.70853
0.253253        0.708348
0.254254        0.708168
0.255255        0.70799
0.256256        0.707814
0.257257        0.70764
0.258258        0.707468
0.259259        0.707298
0.26026         0.707131
0.261261        0.706965
0.262262        0.706802
0.263263        0.706641
0.264264        0.706482
0.265265        0.706326
0.266266        0.706172
0.267267        0.706019
0.268268        0.70587
0.269269        0.705722
0.27027         0.705576
0.271271        0.705433
0.272272        0.705292
0.273273        0.705154
0.274274        0.705017
0.275275        0.704883
0.276276        0.704751
0.277277        0.704622
0.278278        0.704495
0.279279        0.70437
0.28028         0.704247
0.281281        0.704126
0.282282        0.704008
0.283283        0.703892
0.284284        0.703778
0.285285        0.703667
0.286286        0.703558
0.287287        0.703451
0.288288        0.703346
0.289289        0.703243
0.29029         0.703143
0.291291        0.703045
0.292292        0.702949
0.293293        0.702855
0.294294        0.702763
0.295295        0.702673
0.296296        0.702586
0.297297        0.702501
0.298298        0.702417
0.299299        0.702336
0.3003          0.702257
0.301301        0.70218
0.302302        0.702104
0.303303        0.702031
0.304304        0.70196
0.305305        0.701891
0.306306        0.701823
0.307307        0.701757
0.308308        0.701694
0.309309        0.701632
0.31031         0.701571
0.311311        0.701513
0.312312        0.701456
0.313313        0.701401
0.314314        0.701348
0.315315        0.701296
0.316316        0.701246
0.317317        0.701198
0.318318        0.701151
0.319319        0.701105
0.32032         0.701061
0.321321        0.701019
0.322322        0.700978
0.323323        0.700938
0.324324        0.700899
0.325325        0.700862
0.326326        0.700827
0.327327        0.700792
0.328328        0.700759
0.329329        0.700727
0.33033         0.700696
0.331331        0.700666
0.332332        0.700637
0.333333        0.70061
0.334334        0.700583
0.335335        0.700557
0.336336        0.700533
0.337337        0.700509
0.338338        0.700486
0.339339        0.700464
0.34034         0.700443
0.341341        0.700423
0.342342        0.700404
0.343343        0.700385
0.344344        0.700367
0.345345        0.70035
0.346346        0.700334
0.347347        0.700318
0.348348        0.700303
0.349349        0.700289
0.35035         0.700275
0.351351        0.700262
0.352352        0.700249
0.353353        0.700237
0.354354        0.700226
0.355355        0.700215
0.356356        0.700204
0.357357        0.700194
0.358358        0.700184
0.359359        0.700175
0.36036         0.700167
0.361361        0.700158
0.362362        0.70015
0.363363        0.700143
0.364364        0.700135
0.365365        0.700128
0.366366        0.700122
0.367367        0.700116
0.368368        0.70011
0.369369        0.700104
0.37037         0.700098
0.371371        0.700093
0.372372        0.700088
0.373373        0.700084
0.374374        0.700079
0.375375        0.700075
0.376376        0.700071
0.377377        0.700067
0.378378        0.700064
0.379379        0.70006
0.38038         0.700057
0.381381        0.700054
0.382382        0.700051
0.383383        0.700048
0.384384        0.700045
0.385385        0.700043
0.386386        0.700041
0.387387        0.700038
0.388388        0.700036
0.389389        0.700034
0.39039         0.700032
0.391391        0.70003
0.392392        0.700029
0.393393        0.700027
0.394394        0.700025
0.395395        0.700024
0.396396        0.700023
0.397397        0.700021
0.398398        0.70002
0.399399        0.700019
0.4004          0.700018
0.401401        0.700017
0.402402        0.700016
0.403403        0.700015
0.404404        0.700014
0.405405        0.700013
0.406406        0.700012
0.407407        0.700012
0.408408        0.700011
0.409409        0.70001
0.41041         0.70001
0.411411        0.700009
0.412412        0.700009
0.413413        0.700008
0.414414        0.700008
0.415415        0.700007
0.416416        0.700007
0.417417        0.700006
0.418418        0.700006
0.419419        0.700005
0.42042         0.700005
0.421421        0.700005
0.422422        0.700005
0.423423        0.700004
0.424424        0.700004
0.425425        0.700004
0.426426        0.700003
0.427427        0.700003
0.428428        0.700003
0.429429        0.700003
0.43043         0.700003
0.431431        0.700003
0.432432        0.700002
0.433433        0.700002
0.434434        0.700002
0.435435        0.700002
0.436436        0.700002
0.437437        0.700002
0.438438        0.700002
0.439439        0.700001
0.44044         0.700001
0.441441        0.700001
0.442442        0.700001
0.443443        0.700001
