#====================================================
#   t = 2.7     rho_bar = 0.7     Viscosity = 0
#====================================================
#x              rho
#====================================================
0               0.80963
0.001001        0.886908
0.002002        0.891249
0.003003        0.817416
0.004004        0.746311
0.00500501      0.714158
0.00600601      0.704
0.00700701      0.701306
0.00800801      0.700682
0.00900901      0.700427
0.01001         0.700627
0.011011        0.700935
0.012012        0.702766
0.013013        0.709104
0.014014        0.73076
0.015015        0.786054
0.016016        0.864755
0.017017        0.893971
0.018018        0.837116
0.019019        0.761326
0.02002         0.719969
0.021021        0.705831
0.022022        0.701893
0.023023        0.700699
0.024024        0.700645
0.025025        0.70051
0.026026        0.701024
0.027027        0.702603
0.028028        0.708351
0.029029        0.727994
0.03003         0.778282
0.031031        0.854114
0.032032        0.8888
0.033033        0.840344
0.034034        0.765948
0.035035        0.722388
0.036036        0.706756
0.037037        0.70208
0.038038        0.700922
0.039039        0.700577
0.04004         0.700656
0.041041        0.701153
0.042042        0.703007
0.043043        0.709798
0.044044        0.73137
0.045045        0.784043
0.046046        0.85602
0.047047        0.881275
0.048048        0.828989
0.049049        0.759089
0.0500501       0.720144
0.0510511       0.706069
0.0520521       0.702077
0.0530531       0.700848
0.0540541       0.700649
0.0550551       0.700807
0.0560561       0.701503
0.0570571       0.704475
0.0580581       0.714074
0.0590591       0.742973
0.0600601       0.802965
0.0610611       0.865996
0.0620621       0.866805
0.0630631       0.804243
0.0640641       0.743821
0.0650651       0.714402
0.0660661       0.704539
0.0670671       0.701625
0.0680681       0.700767
0.0690691       0.700793
0.0700701       0.70103
0.0710711       0.70268
0.0720721       0.708011
0.0730731       0.724897
0.0740741       0.767676
0.0750751       0.833534
0.0760761       0.870702
0.0770771       0.836004
0.0780781       0.769872
0.0790791       0.726086
0.0800801       0.708298
0.0810811       0.702831
0.0820821       0.701143
0.0830831       0.700748
0.0840841       0.70105
0.0850851       0.701961
0.0860861       0.705838
0.0870871       0.717837
0.0880881       0.750238
0.0890891       0.80974
0.0900901       0.860378
0.0910911       0.848489
0.0920921       0.787768
0.0930931       0.736201
0.0940941       0.712351
0.0950951       0.703902
0.0960961       0.70165
0.0970971       0.700876
0.0980981       0.700938
0.0990991       0.702069
0.1001          0.705141
0.101101        0.71604
0.102102        0.744686
0.103103        0.799425
0.104104        0.851682
0.105105        0.847891
0.106106        0.793024
0.107107        0.740297
0.108108        0.714264
0.109109        0.704777
0.11011         0.701668
0.111111        0.701216
0.112112        0.700933
0.113113        0.702319
0.114114        0.706006
0.115115        0.717552
0.116116        0.748026
0.117117        0.801583
0.118118        0.848482
0.119119        0.839561
0.12012         0.785655
0.121121        0.737184
0.122122        0.713039
0.123123        0.704726
0.124124        0.701621
0.125125        0.701204
0.126126        0.701403
0.127127        0.702901
0.128128        0.708548
0.129129        0.723693
0.13013         0.760181
0.131131        0.814188
0.132132        0.846779
0.133133        0.822621
0.134134        0.768196
0.135135        0.728317
0.136136        0.70983
0.137137        0.703654
0.138138        0.701602
0.139139        0.701165
0.14014         0.702191
0.141141        0.704899
0.142142        0.714266
0.143143        0.73781
0.144144        0.783126
0.145145        0.830876
0.146146        0.836568
0.147147        0.794304
0.148148        0.745384
0.149149        0.717583
0.15015         0.706246
0.151151        0.702402
0.152152        0.701555
0.153153        0.701653
0.154154        0.703953
0.155155        0.710322
0.156156        0.727906
0.157157        0.765083
0.158158        0.813613
0.159159        0.835638
0.16016         0.807175
0.161161        0.75848
0.162162        0.72434
0.163163        0.708947
0.164164        0.703507
0.165165        0.701681
0.166166        0.701897
0.167167        0.703572
0.168168        0.709345
0.169169        0.724804
0.17017         0.757863
0.171171        0.804208
0.172172        0.830049
0.173173        0.809039
0.174174        0.762969
0.175175        0.727559
0.176176        0.710559
0.177177        0.703998
0.178178        0.702122
0.179179        0.70203
0.18018         0.704039
0.181181        0.710252
0.182182        0.72626
0.183183        0.759449
0.184184        0.802917
0.185185        0.824792
0.186186        0.802492
0.187187        0.758898
0.188188        0.726089
0.189189        0.710095
0.19019         0.704128
0.191191        0.70222
0.192192        0.702568
0.193193        0.705327
0.194194        0.713301
0.195195        0.732836
0.196196        0.768482
0.197197        0.807692
0.198198        0.817878
0.199199        0.788665
0.2002          0.74803
0.201201        0.720735
0.202202        0.708295
0.203203        0.703564
0.204204        0.7025
0.205205        0.703652
0.206206        0.708192
0.207207        0.720337
0.208208        0.745979
0.209209        0.784265
0.21021         0.81235
0.211211        0.804177
0.212212        0.767977
0.213213        0.733487
0.214214        0.714134
0.215215        0.705815
0.216216        0.703153
0.217217        0.703244
0.218218        0.706243
0.219219        0.7149
0.22022         0.734329
0.221221        0.767583
0.222222        0.800766
0.223223        0.806825
0.224224        0.779674
0.225225        0.743863
0.226226        0.71982
0.227227        0.708308
0.228228        0.704121
0.229229        0.703432
0.23023         0.705755
0.231231        0.712994
0.232232        0.729567
0.233233        0.759103
0.234234        0.791853
0.235235        0.803526
0.236236        0.782797
0.237237        0.748807
0.238238        0.723248
0.239239        0.710087
0.24024         0.704996
0.241241        0.70391
0.242242        0.706176
0.243243        0.713322
0.244244        0.729431
0.245245        0.75738
0.246246        0.787784
0.247247        0.798547
0.248248        0.77944
0.249249        0.747763
0.25025         0.723361
0.251251        0.710532
0.252252        0.705489
0.253253        0.704616
0.254254        0.707492
0.255255        0.715737
0.256256        0.733314
0.257257        0.761084
0.258258        0.787454
0.259259        0.792315
0.26026         0.770995
0.261261        0.741743
0.262262        0.720513
0.263263        0.709698
0.264264        0.705711
0.265265        0.705778
0.266266        0.710171
0.267267        0.720981
0.268268        0.741483
0.269269        0.768754
0.27027         0.787701
0.271271        0.782746
0.272272        0.758219
0.273273        0.732587
0.274274        0.716046
0.275275        0.70835
0.276276        0.706167
0.277277        0.70814
0.278278        0.715417
0.279279        0.730408
0.28028         0.753971
0.281281        0.77702
0.282282        0.783479
0.283283        0.76778
0.284284        0.742676
0.285285        0.722804
0.286286        0.711742
0.287287        0.70755
0.288288        0.70799
0.289289        0.713224
0.29029         0.725219
0.291291        0.745101
0.292292        0.767707
0.293293        0.779111
0.294294        0.77029
0.295295        0.748396
0.296296        0.72773
0.297297        0.714936
0.298298        0.709222
0.299299        0.708832
0.3003          0.713085
0.301301        0.723615
0.302302        0.74123
0.303303        0.761802
0.304304        0.773897
0.305305        0.76814
0.306306        0.749414
0.307307        0.729839
0.308308        0.716915
0.309309        0.710897
0.31031         0.710178
0.311311        0.714511
0.312312        0.724577
0.313313        0.740961
0.314314        0.759081
0.315315        0.768946
