#====================================================
#t = 4.1     rho_bar = 0.7     Viscosity = 0.17
#====================================================
#x              rho
#====================================================
0               0.705519
0.001001        0.705445
0.002002        0.705372
0.003003        0.705299
0.004004        0.705227
0.00500501      0.705155
0.00600601      0.705083
0.00700701      0.705012
0.00800801      0.704941
0.00900901      0.70487
0.01001         0.7048
0.011011        0.70473
0.012012        0.704661
0.013013        0.704592
0.014014        0.704523
0.015015        0.704455
0.016016        0.704387
0.017017        0.70432
0.018018        0.704253
0.019019        0.704186
0.02002         0.70412
0.021021        0.704054
0.022022        0.703989
0.023023        0.703924
0.024024        0.70386
0.025025        0.703796
0.026026        0.703733
0.027027        0.70367
0.028028        0.703607
0.029029        0.703545
0.03003         0.703484
0.031031        0.703423
0.032032        0.703362
0.033033        0.703302
0.034034        0.703242
0.035035        0.703183
0.036036        0.703125
0.037037        0.703067
0.038038        0.703009
0.039039        0.702952
0.04004         0.702895
0.041041        0.702839
0.042042        0.702784
0.043043        0.702729
0.044044        0.702675
0.045045        0.702621
0.046046        0.702568
0.047047        0.702515
0.048048        0.702463
0.049049        0.702411
0.0500501       0.70236
0.0510511       0.70231
0.0520521       0.70226
0.0530531       0.70221
0.0540541       0.702162
0.0550551       0.702114
0.0560561       0.702066
0.0570571       0.702019
0.0580581       0.701973
0.0590591       0.701927
0.0600601       0.701882
0.0610611       0.701837
0.0620621       0.701793
0.0630631       0.70175
0.0640641       0.701707
0.0650651       0.701665
0.0660661       0.701624
0.0670671       0.701583
0.0680681       0.701543
0.0690691       0.701503
0.0700701       0.701464
0.0710711       0.701426
0.0720721       0.701388
0.0730731       0.701351
0.0740741       0.701315
0.0750751       0.701279
0.0760761       0.701244
0.0770771       0.701209
0.0780781       0.701175
0.0790791       0.701142
0.0800801       0.701109
0.0810811       0.701077
0.0820821       0.701045
0.0830831       0.701015
0.0840841       0.700984
0.0850851       0.700955
0.0860861       0.700926
0.0870871       0.700897
0.0880881       0.700869
0.0890891       0.700842
0.0900901       0.700816
0.0910911       0.70079
0.0920921       0.700764
0.0930931       0.700739
0.0940941       0.700715
0.0950951       0.700692
0.0960961       0.700669
0.0970971       0.700646
0.0980981       0.700624
0.0990991       0.700603
0.1001          0.700582
0.101101        0.700561
0.102102        0.700542
0.103103        0.700522
0.104104        0.700504
0.105105        0.700485
0.106106        0.700468
0.107107        0.700451
0.108108        0.700434
0.109109        0.700418
0.11011         0.700402
0.111111        0.700387
0.112112        0.700372
0.113113        0.700357
0.114114        0.700344
0.115115        0.70033
0.116116        0.700317
0.117117        0.700304
0.118118        0.700292
0.119119        0.70028
0.12012         0.700269
0.121121        0.700258
0.122122        0.700247
0.123123        0.700237
0.124124        0.700227
0.125125        0.700217
0.126126        0.700208
0.127127        0.700199
0.128128        0.700191
0.129129        0.700182
0.13013         0.700174
0.131131        0.700167
0.132132        0.700159
0.133133        0.700152
0.134134        0.700145
0.135135        0.700139
0.136136        0.700133
0.137137        0.700127
0.138138        0.700121
0.139139        0.700115
0.14014         0.70011
0.141141        0.700105
0.142142        0.7001
0.143143        0.700095
0.144144        0.700091
0.145145        0.700086
0.146146        0.700082
0.147147        0.700078
0.148148        0.700074
