#====================================================
#t = 5       rho_bar = 0.7     Viscosity = 0.17
#====================================================
#x              rho
#====================================================
0               0.759437
0.001001        0.759345
0.002002        0.759253
0.003003        0.759161
0.004004        0.759069
0.00500501      0.758977
0.00600601      0.758885
0.00700701      0.758794
0.00800801      0.758702
0.00900901      0.75861
0.01001         0.758518
0.011011        0.758426
0.012012        0.758334
0.013013        0.758243
0.014014        0.758151
0.015015        0.758059
0.016016        0.757967
0.017017        0.757875
0.018018        0.757784
0.019019        0.757692
0.02002         0.7576
0.021021        0.757508
0.022022        0.757416
0.023023        0.757325
0.024024        0.757233
0.025025        0.757141
0.026026        0.757049
0.027027        0.756958
0.028028        0.756866
0.029029        0.756774
0.03003         0.756682
0.031031        0.756591
0.032032        0.756499
0.033033        0.756407
0.034034        0.756316
0.035035        0.756224
0.036036        0.756132
0.037037        0.756041
0.038038        0.755949
0.039039        0.755857
0.04004         0.755766
0.041041        0.755674
0.042042        0.755582
0.043043        0.755491
0.044044        0.755399
0.045045        0.755307
0.046046        0.755216
0.047047        0.755124
0.048048        0.755033
0.049049        0.754941
0.0500501       0.754849
0.0510511       0.754758
0.0520521       0.754666
0.0530531       0.754575
0.0540541       0.754483
0.0550551       0.754392
0.0560561       0.7543
0.0570571       0.754208
0.0580581       0.754117
0.0590591       0.754025
0.0600601       0.753934
0.0610611       0.753842
0.0620621       0.753751
0.0630631       0.753659
0.0640641       0.753568
0.0650651       0.753476
0.0660661       0.753385
0.0670671       0.753293
0.0680681       0.753202
0.0690691       0.75311
0.0700701       0.753019
0.0710711       0.752927
0.0720721       0.752836
0.0730731       0.752745
0.0740741       0.752653
0.0750751       0.752562
0.0760761       0.75247
0.0770771       0.752379
0.0780781       0.752287
0.0790791       0.752196
0.0800801       0.752105
0.0810811       0.752013
0.0820821       0.751922
0.0830831       0.751831
0.0840841       0.751739
0.0850851       0.751648
0.0860861       0.751557
0.0870871       0.751465
0.0880881       0.751374
0.0890891       0.751283
0.0900901       0.751191
0.0910911       0.7511
0.0920921       0.751009
0.0930931       0.750917
0.0940941       0.750826
0.0950951       0.750735
0.0960961       0.750644
0.0970971       0.750552
0.0980981       0.750461
0.0990991       0.75037
0.1001          0.750279
0.101101        0.750187
0.102102        0.750096
0.103103        0.750005
0.104104        0.749914
0.105105        0.749823
0.106106        0.749731
0.107107        0.74964
0.108108        0.749549
0.109109        0.749458
0.11011         0.749367
0.111111        0.749276
0.112112        0.749184
0.113113        0.749093
0.114114        0.749002
0.115115        0.748911
0.116116        0.74882
0.117117        0.748729
0.118118        0.748638
0.119119        0.748547
0.12012         0.748456
0.121121        0.748365
