#====================================================
#   t = 1.3     rho_bar = 0.7     Viscosity = 0.1
#====================================================
#x              rho
#====================================================
0               0.737672
0.001001        0.737405
0.002002        0.737137
0.003003        0.73687
0.004004        0.736604
0.00500501      0.736337
0.00600601      0.736072
0.00700701      0.735806
0.00800801      0.735541
0.00900901      0.735276
0.01001         0.735012
0.011011        0.734748
0.012012        0.734485
0.013013        0.734222
0.014014        0.733959
0.015015        0.733697
0.016016        0.733436
0.017017        0.733174
0.018018        0.732914
0.019019        0.732653
0.02002         0.732393
0.021021        0.732134
0.022022        0.731875
0.023023        0.731616
0.024024        0.731358
0.025025        0.731101
0.026026        0.730844
0.027027        0.730587
0.028028        0.730331
0.029029        0.730076
0.03003         0.729821
0.031031        0.729566
0.032032        0.729312
0.033033        0.729058
0.034034        0.728805
0.035035        0.728553
0.036036        0.728301
0.037037        0.72805
0.038038        0.727799
0.039039        0.727549
0.04004         0.727299
0.041041        0.72705
0.042042        0.726801
0.043043        0.726553
0.044044        0.726306
0.045045        0.726059
0.046046        0.725813
0.047047        0.725568
0.048048        0.725323
0.049049        0.725078
0.0500501       0.724835
0.0510511       0.724592
0.0520521       0.724349
0.0530531       0.724108
0.0540541       0.723866
0.0550551       0.723626
0.0560561       0.723386
0.0570571       0.723147
0.0580581       0.722909
0.0590591       0.722671
0.0600601       0.722434
0.0610611       0.722198
0.0620621       0.721963
0.0630631       0.721728
0.0640641       0.721494
0.0650651       0.72126
0.0660661       0.721028
0.0670671       0.720796
0.0680681       0.720565
0.0690691       0.720335
0.0700701       0.720105
0.0710711       0.719877
0.0720721       0.719649
0.0730731       0.719422
0.0740741       0.719196
0.0750751       0.718971
0.0760761       0.718746
0.0770771       0.718522
0.0780781       0.7183
0.0790791       0.718078
0.0800801       0.717857
0.0810811       0.717637
0.0820821       0.717418
0.0830831       0.717199
0.0840841       0.716982
0.0850851       0.716766
0.0860861       0.71655
0.0870871       0.716336
0.0880881       0.716122
0.0890891       0.71591
0.0900901       0.715698
0.0910911       0.715487
0.0920921       0.715278
0.0930931       0.715069
0.0940941       0.714862
0.0950951       0.714656
0.0960961       0.71445
0.0970971       0.714246
0.0980981       0.714043
0.0990991       0.713841
0.1001          0.71364
0.101101        0.71344
0.102102        0.713241
0.103103        0.713044
0.104104        0.712848
0.105105        0.712652
0.106106        0.712458
0.107107        0.712266
0.108108        0.712074
0.109109        0.711884
0.11011         0.711695
0.111111        0.711507
0.112112        0.71132
0.113113        0.711135
0.114114        0.710951
0.115115        0.710768
0.116116        0.710587
0.117117        0.710407
0.118118        0.710228
0.119119        0.710051
0.12012         0.709875
0.121121        0.7097
0.122122        0.709527
0.123123        0.709355
0.124124        0.709185
0.125125        0.709016
0.126126        0.708849
0.127127        0.708683
0.128128        0.708519
0.129129        0.708356
0.13013         0.708194
0.131131        0.708034
0.132132        0.707876
0.133133        0.707719
0.134134        0.707564
0.135135        0.707411
0.136136        0.707259
0.137137        0.707108
0.138138        0.706959
0.139139        0.706812
0.14014         0.706667
0.141141        0.706523
0.142142        0.70638
0.143143        0.70624
0.144144        0.706101
0.145145        0.705964
0.146146        0.705828
0.147147        0.705695
0.148148        0.705563
0.149149        0.705432
0.15015         0.705304
0.151151        0.705177
0.152152        0.705052
0.153153        0.704929
0.154154        0.704807
0.155155        0.704688
0.156156        0.70457
0.157157        0.704454
0.158158        0.704339
0.159159        0.704227
0.16016         0.704116
0.161161        0.704007
0.162162        0.7039
0.163163        0.703795
0.164164        0.703691
0.165165        0.703589
0.166166        0.70349
0.167167        0.703392
0.168168        0.703295
0.169169        0.703201
0.17017         0.703108
0.171171        0.703017
0.172172        0.702928
0.173173        0.702841
0.174174        0.702755
0.175175        0.702672
0.176176        0.70259
0.177177        0.70251
0.178178        0.702431
0.179179        0.702354
0.18018         0.702279
0.181181        0.702206
0.182182        0.702135
0.183183        0.702065
0.184184        0.701996
0.185185        0.70193
0.186186        0.701865
0.187187        0.701802
0.188188        0.70174
0.189189        0.70168
0.19019         0.701621
0.191191        0.701564
0.192192        0.701509
0.193193        0.701455
0.194194        0.701402
0.195195        0.701351
0.196196        0.701302
0.197197        0.701254
0.198198        0.701207
0.199199        0.701162
0.2002          0.701118
0.201201        0.701075
0.202202        0.701034
0.203203        0.700994
0.204204        0.700955
0.205205        0.700917
0.206206        0.700881
0.207207        0.700846
0.208208        0.700812
0.209209        0.700779
0.21021         0.700747
0.211211        0.700717
0.212212        0.700687
0.213213        0.700658
0.214214        0.700631
0.215215        0.700604
0.216216        0.700579
0.217217        0.700554
0.218218        0.70053
0.219219        0.700507
0.22022         0.700485
0.221221        0.700464
0.222222        0.700443
0.223223        0.700424
0.224224        0.700405
0.225225        0.700387
0.226226        0.700369
0.227227        0.700352
0.228228        0.700336
0.229229        0.700321
0.23023         0.700306
0.231231        0.700292
0.232232        0.700278
0.233233        0.700265
0.234234        0.700253
0.235235        0.700241
0.236236        0.700229
0.237237        0.700218
0.238238        0.700208
0.239239        0.700198
0.24024         0.700188
0.241241        0.700179
0.242242        0.70017
0.243243        0.700162
0.244244        0.700154
0.245245        0.700146
0.246246        0.700139
0.247247        0.700132
0.248248        0.700125
0.249249        0.700119
0.25025         0.700113
0.251251        0.700107
0.252252        0.700102
0.253253        0.700096
0.254254        0.700091
0.255255        0.700087
0.256256        0.700082
0.257257        0.700078
0.258258        0.700074
0.259259        0.70007
0.26026         0.700066
0.261261        0.700063
0.262262        0.700059
0.263263        0.700056
0.264264        0.700053
0.265265        0.70005
0.266266        0.700047
0.267267        0.700045
0.268268        0.700042
0.269269        0.70004
0.27027         0.700038
0.271271        0.700036
0.272272        0.700034
0.273273        0.700032
0.274274        0.70003
0.275275        0.700028
0.276276        0.700027
0.277277        0.700025
0.278278        0.700024
0.279279        0.700023
0.28028         0.700021
0.281281        0.70002
0.282282        0.700019
0.283283        0.700018
0.284284        0.700017
0.285285        0.700016
0.286286        0.700015
0.287287        0.700014
0.288288        0.700013
0.289289        0.700012
0.29029         0.700012
0.291291        0.700011
0.292292        0.70001
0.293293        0.70001
0.294294        0.700009
0.295295        0.700009
0.296296        0.700008
0.297297        0.700008
0.298298        0.700007
0.299299        0.700007
0.3003          0.700006
0.301301        0.700006
0.302302        0.700006
0.303303        0.700005
0.304304        0.700005
0.305305        0.700005
0.306306        0.700004
0.307307        0.700004
0.308308        0.700004
0.309309        0.700004
0.31031         0.700003
0.311311        0.700003
0.312312        0.700003
0.313313        0.700003
0.314314        0.700003
0.315315        0.700002
0.316316        0.700002
0.317317        0.700002
0.318318        0.700002
0.319319        0.700002
0.32032         0.700002
0.321321        0.700002
0.322322        0.700002
0.323323        0.700001
0.324324        0.700001
0.325325        0.700001
0.326326        0.700001
0.327327        0.700001
0.328328        0.700001
0.329329        0.700001
0.33033         0.700001
0.331331        0.700001
0.332332        0.700001
0.333333        0.700001
0.334334        0.700001
0.335335        0.700001
0.336336        0.700001
0.337337        0.700001
0.338338        0.7
0.339339        0.7
0.34034         0.7
0.341341        0.7
0.342342        0.7
0.343343        0.7
0.344344        0.7
0.345345        0.7
0.346346        0.7
0.347347        0.7
0.348348        0.7
0.349349        0.7
0.35035         0.7
0.351351        0.7
0.352352        0.7
0.353353        0.7
0.354354        0.7
0.355355        0.7
0.356356        0.7
0.357357        0.7
0.358358        0.7
0.359359        0.7
0.36036         0.7
0.361361        0.7
0.362362        0.7
0.363363        0.7
0.364364        0.7
0.365365        0.7
0.366366        0.7
0.367367        0.7
0.368368        0.7
0.369369        0.7
0.37037         0.7
0.371371        0.7
0.372372        0.7
0.373373        0.7
0.374374        0.7
0.375375        0.7
0.376376        0.7
0.377377        0.7
0.378378        0.7
0.379379        0.7
0.38038         0.7
0.381381        0.7
0.382382        0.7
0.383383        0.7
0.384384        0.7
0.385385        0.7
0.386386        0.7
0.387387        0.7
0.388388        0.7
0.389389        0.7
0.39039         0.7
0.391391        0.7
0.392392        0.7
0.393393        0.7
0.394394        0.7
0.395395        0.7
0.396396        0.7
0.397397        0.7
0.398398        0.7
0.399399        0.7
0.4004          0.7
0.401401        0.7
0.402402        0.7
0.403403        0.7
0.404404        0.7
0.405405        0.7
0.406406        0.7
0.407407        0.7
0.408408        0.7
0.409409        0.7
0.41041         0.7
0.411411        0.7
0.412412        0.7
0.413413        0.7
0.414414        0.7
0.415415        0.7
0.416416        0.7
0.417417        0.7
0.418418        0.7
0.419419        0.7
0.42042         0.7
0.421421        0.7
0.422422        0.7
0.423423        0.7
0.424424        0.7
0.425425        0.7
0.426426        0.7
0.427427        0.7
0.428428        0.7
0.429429        0.7
0.43043         0.7
0.431431        0.7
0.432432        0.7
0.433433        0.7
0.434434        0.7
0.435435        0.7
0.436436        0.7
0.437437        0.7
0.438438        0.7
0.439439        0.7
0.44044         0.7
0.441441        0.7
0.442442        0.7
0.443443        0.7
0.444444        0.7
0.445445        0.7
0.446446        0.7
0.447447        0.7
0.448448        0.7
0.449449        0.7
0.45045         0.7
0.451451        0.7
0.452452        0.7
0.453453        0.7
0.454454        0.7
0.455455        0.7
0.456456        0.7
0.457457        0.7
0.458458        0.7
0.459459        0.7
0.46046         0.7
0.461461        0.7
0.462462        0.7
0.463463        0.7
0.464464        0.7
0.465465        0.7
0.466466        0.7
0.467467        0.7
0.468468        0.7
0.469469        0.7
0.47047         0.7
0.471471        0.7
0.472472        0.7
0.473473        0.7
0.474474        0.7
0.475475        0.7
0.476476        0.7
0.477477        0.7
0.478478        0.7
0.479479        0.7
0.48048         0.7
0.481481        0.7
0.482482        0.7
0.483483        0.7
0.484484        0.7
0.485485        0.7
0.486486        0.7
0.487487        0.7
0.488488        0.7
0.489489        0.7
0.49049         0.7
0.491491        0.7
0.492492        0.7
0.493493        0.7
0.494494        0.7
0.495495        0.7
0.496496        0.7
0.497497        0.7
0.498498        0.7
0.499499        0.7
0.500501        0.7
0.501502        0.7
0.502503        0.7
0.503504        0.7
0.504505        0.7
0.505506        0.7
0.506507        0.7
0.507508        0.7
0.508509        0.7
0.50951         0.7
0.510511        0.7
0.511512        0.7
0.512513        0.7
0.513514        0.7
0.514515        0.7
0.515516        0.7
0.516517        0.7
0.517518        0.7
0.518519        0.7
0.51952         0.7
0.520521        0.7
0.521522        0.7
0.522523        0.7
0.523524        0.7
0.524525        0.7
0.525526        0.7
0.526527        0.7
0.527528        0.7
0.528529        0.7
0.52953         0.7
0.530531        0.7
0.531532        0.7
0.532533        0.7
0.533534        0.7
0.534535        0.7
0.535536        0.7
0.536537        0.7
0.537538        0.7
0.538539        0.7
0.53954         0.7
0.540541        0.7
0.541542        0.7
0.542543        0.7
0.543544        0.7
0.544545        0.7
0.545546        0.7
0.546547        0.7
0.547548        0.7
0.548549        0.7
0.54955         0.7
0.550551        0.7
0.551552        0.7
0.552553        0.7
0.553554        0.7
0.554555        0.7
0.555556        0.7
0.556557        0.7
0.557558        0.7
0.558559        0.7
0.55956         0.7
0.560561        0.7
0.561562        0.7
0.562563        0.7
0.563564        0.7
0.564565        0.7
0.565566        0.7
0.566567        0.7
0.567568        0.7
0.568569        0.7
0.56957         0.7
0.570571        0.7
0.571572        0.7
0.572573        0.7
0.573574        0.7
0.574575        0.7
0.575576        0.7
0.576577        0.7
0.577578        0.7
0.578579        0.7
0.57958         0.7
0.580581        0.7
0.581582        0.7
0.582583        0.7
0.583584        0.7
0.584585        0.7
0.585586        0.7
0.586587        0.7
0.587588        0.7
0.588589        0.7
0.58959         0.7
0.590591        0.7
0.591592        0.7
0.592593        0.7
0.593594        0.7
0.594595        0.7
0.595596        0.7
0.596597        0.7
0.597598        0.7
0.598599        0.7
0.5996          0.7
0.600601        0.7
0.601602        0.7
0.602603        0.7
0.603604        0.7
0.604605        0.7
0.605606        0.7
0.606607        0.7
0.607608        0.7
0.608609        0.7
0.60961         0.7
0.610611        0.7
0.611612        0.7
0.612613        0.7
0.613614        0.7
0.614615        0.7
0.615616        0.7
0.616617        0.7
0.617618        0.7
0.618619        0.7
0.61962         0.7
0.620621        0.7
0.621622        0.700001
0.622623        0.700001
0.623624        0.700001
0.624625        0.700001
0.625626        0.700001
0.626627        0.700001
0.627628        0.700001
0.628629        0.700001
0.62963         0.700001
0.630631        0.700001
0.631632        0.700001
0.632633        0.700001
0.633634        0.700001
0.634635        0.700001
0.635636        0.700001
0.636637        0.700001
0.637638        0.700002
0.638639        0.700002
0.63964         0.700002
0.640641        0.700002
0.641642        0.700002
0.642643        0.700002
0.643644        0.700002
0.644645        0.700002
0.645646        0.700003
0.646647        0.700003
0.647648        0.700003
0.648649        0.700003
0.64965         0.700003
0.650651        0.700004
0.651652        0.700004
0.652653        0.700004
0.653654        0.700004
0.654655        0.700005
0.655656        0.700005
0.656657        0.700005
0.657658        0.700006
0.658659        0.700006
0.65966         0.700007
0.660661        0.700007
0.661662        0.700007
0.662663        0.700008
0.663664        0.700008
0.664665        0.700009
0.665666        0.700009
0.666667        0.70001
0.667668        0.700011
0.668669        0.700011
0.66967         0.700012
0.670671        0.700013
0.671672        0.700014
0.672673        0.700015
0.673674        0.700015
0.674675        0.700016
0.675676        0.700017
0.676677        0.700018
0.677678        0.70002
0.678679        0.700021
0.67968         0.700022
0.680681        0.700023
0.681682        0.700025
0.682683        0.700026
0.683684        0.700028
0.684685        0.700029
0.685686        0.700031
0.686687        0.700033
0.687688        0.700035
0.688689        0.700037
0.68969         0.700039
0.690691        0.700042
0.691692        0.700044
0.692693        0.700047
0.693694        0.70005
0.694695        0.700053
0.695696        0.700057
0.696697        0.700062
0.697698        0.700072
0.698699        0.700095
