#====================================================
#t = 1.2     rho_bar = 0.7     Viscosity = 0
#====================================================
#x              rho
#====================================================
0               0.751439
0.001001        0.75114
0.002002        0.750841
0.003003        0.750541
0.004004        0.750242
0.00500501      0.749944
0.00600601      0.749646
0.00700701      0.749348
0.00800801      0.74905
0.00900901      0.748753
0.01001         0.748456
0.011011        0.748159
0.012012        0.747862
0.013013        0.747566
0.014014        0.74727
0.015015        0.746974
0.016016        0.746679
0.017017        0.746384
0.018018        0.746089
0.019019        0.745795
0.02002         0.745501
0.021021        0.745207
0.022022        0.744914
0.023023        0.744621
0.024024        0.744328
0.025025        0.744036
0.026026        0.743744
0.027027        0.743452
0.028028        0.74316
0.029029        0.74287
0.03003         0.742579
0.031031        0.742289
0.032032        0.741999
0.033033        0.741709
0.034034        0.74142
0.035035        0.741131
0.036036        0.740843
0.037037        0.740555
0.038038        0.740267
0.039039        0.73998
0.04004         0.739693
0.041041        0.739407
0.042042        0.739121
0.043043        0.738835
0.044044        0.73855
0.045045        0.738265
0.046046        0.737981
0.047047        0.737697
0.048048        0.737413
0.049049        0.73713
0.0500501       0.736848
0.0510511       0.736566
0.0520521       0.736284
0.0530531       0.736003
0.0540541       0.735722
0.0550551       0.735442
0.0560561       0.735162
0.0570571       0.734883
0.0580581       0.734604
0.0590591       0.734326
0.0600601       0.734048
0.0610611       0.73377
0.0620621       0.733493
0.0630631       0.733217
0.0640641       0.732941
0.0650651       0.732666
0.0660661       0.732391
0.0670671       0.732117
0.0680681       0.731843
0.0690691       0.73157
0.0700701       0.731298
0.0710711       0.731026
0.0720721       0.730754
0.0730731       0.730483
0.0740741       0.730213
0.0750751       0.729943
0.0760761       0.729674
0.0770771       0.729406
0.0780781       0.729138
0.0790791       0.72887
0.0800801       0.728604
0.0810811       0.728338
0.0820821       0.728072
0.0830831       0.727807
0.0840841       0.727543
0.0850851       0.72728
0.0860861       0.727017
0.0870871       0.726755
0.0880881       0.726493
0.0890891       0.726232
0.0900901       0.725972
0.0910911       0.725713
0.0920921       0.725454
0.0930931       0.725196
0.0940941       0.724939
0.0950951       0.724683
0.0960961       0.724427
0.0970971       0.724172
0.0980981       0.723917
0.0990991       0.723664
0.1001          0.723411
0.101101        0.723159
0.102102        0.722908
0.103103        0.722658
0.104104        0.722408
0.105105        0.72216
0.106106        0.721912
0.107107        0.721665
0.108108        0.721418
0.109109        0.721173
0.11011         0.720929
0.111111        0.720685
0.112112        0.720442
0.113113        0.720201
0.114114        0.71996
0.115115        0.71972
0.116116        0.719481
0.117117        0.719243
0.118118        0.719006
0.119119        0.718769
0.12012         0.718534
0.121121        0.7183
0.122122        0.718067
0.123123        0.717835
0.124124        0.717604
0.125125        0.717373
0.126126        0.717144
0.127127        0.716916
0.128128        0.716689
0.129129        0.716464
0.13013         0.716239
0.131131        0.716015
0.132132        0.715793
0.133133        0.715571
0.134134        0.715351
0.135135        0.715132
0.136136        0.714914
0.137137        0.714697
0.138138        0.714482
0.139139        0.714267
0.14014         0.714054
0.141141        0.713842
0.142142        0.713632
0.143143        0.713423
0.144144        0.713215
0.145145        0.713008
0.146146        0.712802
0.147147        0.712598
0.148148        0.712396
0.149149        0.712194
0.15015         0.711994
0.151151        0.711796
0.152152        0.711598
0.153153        0.711403
0.154154        0.711208
0.155155        0.711015
0.156156        0.710824
0.157157        0.710634
0.158158        0.710445
0.159159        0.710258
0.16016         0.710073
0.161161        0.709889
0.162162        0.709706
0.163163        0.709526
0.164164        0.709346
0.165165        0.709169
0.166166        0.708993
0.167167        0.708818
0.168168        0.708645
0.169169        0.708474
0.17017         0.708305
0.171171        0.708137
0.172172        0.707971
0.173173        0.707807
0.174174        0.707644
0.175175        0.707483
0.176176        0.707324
0.177177        0.707167
0.178178        0.707011
0.179179        0.706858
0.18018         0.706706
0.181181        0.706555
0.182182        0.706407
0.183183        0.706261
0.184184        0.706116
0.185185        0.705973
0.186186        0.705832
0.187187        0.705693
0.188188        0.705556
0.189189        0.705421
0.19019         0.705288
0.191191        0.705156
0.192192        0.705027
0.193193        0.7049
0.194194        0.704774
0.195195        0.70465
0.196196        0.704529
0.197197        0.704409
0.198198        0.704291
0.199199        0.704176
0.2002          0.704062
0.201201        0.70395
0.202202        0.70384
0.203203        0.703732
0.204204        0.703626
0.205205        0.703522
0.206206        0.70342
0.207207        0.70332
0.208208        0.703222
0.209209        0.703126
0.21021         0.703032
0.211211        0.702939
0.212212        0.702849
0.213213        0.702761
0.214214        0.702674
0.215215        0.70259
0.216216        0.702507
0.217217        0.702426
0.218218        0.702347
0.219219        0.70227
0.22022         0.702195
0.221221        0.702121
0.222222        0.70205
0.223223        0.70198
0.224224        0.701912
0.225225        0.701846
0.226226        0.701781
0.227227        0.701718
0.228228        0.701657
0.229229        0.701597
0.23023         0.70154
0.231231        0.701483
0.232232        0.701429
0.233233        0.701376
0.234234        0.701324
0.235235        0.701274
0.236236        0.701226
0.237237        0.701179
0.238238        0.701133
0.239239        0.701089
0.24024         0.701046
0.241241        0.701005
0.242242        0.700965
0.243243        0.700926
0.244244        0.700889
0.245245        0.700852
0.246246        0.700818
0.247247        0.700784
0.248248        0.700751
0.249249        0.70072
0.25025         0.700689
0.251251        0.70066
0.252252        0.700632
0.253253        0.700605
0.254254        0.700579
0.255255        0.700553
0.256256        0.700529
0.257257        0.700506
0.258258        0.700483
0.259259        0.700462
0.26026         0.700441
0.261261        0.700421
0.262262        0.700402
0.263263        0.700384
0.264264        0.700366
0.265265        0.700349
0.266266        0.700333
0.267267        0.700317
0.268268        0.700302
0.269269        0.700288
0.27027         0.700274
0.271271        0.700261
0.272272        0.700249
0.273273        0.700237
0.274274        0.700225
0.275275        0.700214
0.276276        0.700204
0.277277        0.700194
0.278278        0.700184
0.279279        0.700175
0.28028         0.700166
0.281281        0.700158
0.282282        0.70015
0.283283        0.700143
0.284284        0.700135
0.285285        0.700128
0.286286        0.700122
0.287287        0.700116
0.288288        0.70011
0.289289        0.700104
0.29029         0.700099
0.291291        0.700093
0.292292        0.700088
0.293293        0.700084
0.294294        0.700079
0.295295        0.700075
0.296296        0.700071
0.297297        0.700067
0.298298        0.700064
0.299299        0.70006
0.3003          0.700057
0.301301        0.700054
0.302302        0.700051
0.303303        0.700048
0.304304        0.700045
0.305305        0.700043
0.306306        0.700041
0.307307        0.700038
0.308308        0.700036
0.309309        0.700034
0.31031         0.700032
0.311311        0.70003
0.312312        0.700029
0.313313        0.700027
0.314314        0.700026
0.315315        0.700024
0.316316        0.700023
0.317317        0.700021
0.318318        0.70002
0.319319        0.700019
0.32032         0.700018
0.321321        0.700017
0.322322        0.700016
0.323323        0.700015
0.324324        0.700014
0.325325        0.700013
0.326326        0.700012
0.327327        0.700012
0.328328        0.700011
0.329329        0.70001
0.33033         0.70001
0.331331        0.700009
0.332332        0.700009
0.333333        0.700008
0.334334        0.700008
0.335335        0.700007
0.336336        0.700007
0.337337        0.700006
0.338338        0.700006
0.339339        0.700005
0.34034         0.700005
0.341341        0.700005
0.342342        0.700005
0.343343        0.700004
0.344344        0.700004
0.345345        0.700004
0.346346        0.700003
0.347347        0.700003
0.348348        0.700003
0.349349        0.700003
0.35035         0.700003
0.351351        0.700003
0.352352        0.700002
0.353353        0.700002
0.354354        0.700002
0.355355        0.700002
0.356356        0.700002
0.357357        0.700002
0.358358        0.700002
0.359359        0.700001
0.36036         0.700001
0.361361        0.700001
0.362362        0.700001
0.363363        0.700001
0.364364        0.700001
0.365365        0.700001
0.366366        0.700001
0.367367        0.700001
0.368368        0.700001
0.369369        0.700001
0.37037         0.700001
0.371371        0.700001
0.372372        0.700001
0.373373        0.700001
0.374374        0.700001
0.375375        0.7
0.376376        0.7
0.377377        0.7
0.378378        0.7
0.379379        0.7
0.38038         0.7
0.381381        0.7
0.382382        0.7
0.383383        0.7
0.384384        0.7
0.385385        0.7
0.386386        0.7
0.387387        0.7
0.388388        0.7
0.389389        0.7
0.39039         0.7
0.391391        0.7
0.392392        0.7
0.393393        0.7
0.394394        0.7
0.395395        0.7
0.396396        0.7
0.397397        0.7
0.398398        0.7
0.399399        0.7
0.4004          0.7
0.401401        0.7
0.402402        0.7
0.403403        0.7
0.404404        0.7
0.405405        0.7
0.406406        0.7
0.407407        0.7
0.408408        0.7
0.409409        0.7
0.41041         0.7
0.411411        0.7
0.412412        0.7
0.413413        0.7
0.414414        0.7
0.415415        0.7
0.416416        0.7
0.417417        0.7
0.418418        0.7
0.419419        0.7
0.42042         0.7
0.421421        0.7
0.422422        0.7
0.423423        0.7
0.424424        0.7
0.425425        0.7
0.426426        0.7
0.427427        0.7
0.428428        0.7
0.429429        0.7
0.43043         0.7
0.431431        0.7
0.432432        0.7
0.433433        0.7
0.434434        0.7
0.435435        0.7
0.436436        0.7
0.437437        0.7
0.438438        0.7
0.439439        0.7
0.44044         0.7
0.441441        0.7
0.442442        0.7
0.443443        0.7
0.444444        0.7
0.445445        0.7
0.446446        0.7
0.447447        0.7
0.448448        0.7
0.449449        0.7
0.45045         0.7
0.451451        0.7
0.452452        0.7
0.453453        0.7
0.454454        0.7
0.455455        0.7
0.456456        0.7
0.457457        0.7
0.458458        0.7
0.459459        0.7
0.46046         0.7
0.461461        0.7
0.462462        0.7
0.463463        0.7
0.464464        0.7
0.465465        0.7
0.466466        0.7
0.467467        0.7
0.468468        0.7
0.469469        0.7
0.47047         0.7
0.471471        0.7
0.472472        0.7
0.473473        0.7
0.474474        0.7
0.475475        0.7
0.476476        0.7
0.477477        0.7
0.478478        0.7
0.479479        0.7
0.48048         0.7
0.481481        0.7
0.482482        0.7
0.483483        0.7
0.484484        0.7
0.485485        0.7
0.486486        0.7
0.487487        0.7
0.488488        0.7
0.489489        0.7
0.49049         0.7
0.491491        0.7
0.492492        0.7
0.493493        0.7
0.494494        0.7
0.495495        0.7
0.496496        0.7
0.497497        0.7
0.498498        0.7
0.499499        0.7
0.500501        0.7
0.501502        0.7
0.502503        0.7
0.503504        0.7
0.504505        0.7
0.505506        0.7
0.506507        0.7
0.507508        0.7
0.508509        0.7
0.50951         0.7
0.510511        0.7
0.511512        0.7
0.512513        0.7
0.513514        0.7
0.514515        0.7
0.515516        0.7
0.516517        0.7
0.517518        0.7
0.518519        0.7
0.51952         0.7
0.520521        0.7
0.521522        0.7
0.522523        0.7
0.523524        0.7
0.524525        0.7
0.525526        0.7
0.526527        0.7
0.527528        0.7
0.528529        0.7
0.52953         0.7
0.530531        0.7
0.531532        0.7
0.532533        0.7
0.533534        0.7
0.534535        0.7
0.535536        0.7
0.536537        0.7
0.537538        0.7
0.538539        0.7
0.53954         0.7
0.540541        0.7
0.541542        0.7
0.542543        0.7
0.543544        0.7
0.544545        0.7
0.545546        0.7
0.546547        0.7
0.547548        0.7
0.548549        0.7
0.54955         0.7
0.550551        0.7
0.551552        0.7
0.552553        0.7
0.553554        0.7
0.554555        0.7
0.555556        0.7
0.556557        0.7
0.557558        0.7
0.558559        0.7
0.55956         0.7
0.560561        0.7
0.561562        0.7
0.562563        0.7
0.563564        0.7
0.564565        0.7
0.565566        0.7
0.566567        0.7
0.567568        0.7
0.568569        0.7
0.56957         0.7
0.570571        0.7
0.571572        0.7
0.572573        0.7
0.573574        0.7
0.574575        0.7
0.575576        0.7
0.576577        0.7
0.577578        0.7
0.578579        0.7
0.57958         0.7
0.580581        0.7
0.581582        0.7
0.582583        0.7
0.583584        0.7
0.584585        0.7
0.585586        0.7
0.586587        0.7
0.587588        0.7
0.588589        0.7
0.58959         0.7
0.590591        0.7
0.591592        0.7
0.592593        0.7
0.593594        0.7
0.594595        0.7
0.595596        0.7
0.596597        0.7
0.597598        0.7
0.598599        0.7
0.5996          0.7
0.600601        0.7
0.601602        0.7
0.602603        0.7
0.603604        0.7
0.604605        0.7
0.605606        0.7
0.606607        0.7
0.607608        0.7
0.608609        0.7
0.60961         0.7
0.610611        0.7
0.611612        0.7
0.612613        0.7
0.613614        0.7
0.614615        0.7
0.615616        0.7
0.616617        0.7
0.617618        0.7
0.618619        0.7
0.61962         0.7
0.620621        0.7
0.621622        0.7
0.622623        0.7
0.623624        0.7
0.624625        0.7
0.625626        0.7
0.626627        0.7
0.627628        0.7
0.628629        0.7
0.62963         0.7
0.630631        0.7
0.631632        0.7
0.632633        0.7
0.633634        0.7
0.634635        0.7
0.635636        0.7
0.636637        0.7
0.637638        0.7
0.638639        0.7
0.63964         0.7
0.640641        0.7
0.641642        0.7
0.642643        0.7
0.643644        0.7
0.644645        0.7
0.645646        0.7
0.646647        0.7
0.647648        0.7
0.648649        0.7
0.64965         0.7
0.650651        0.7
0.651652        0.7
0.652653        0.7
0.653654        0.7
0.654655        0.7
0.655656        0.7
0.656657        0.7
0.657658        0.7
0.658659        0.7
0.65966         0.7
0.660661        0.7
0.661662        0.7
0.662663        0.7
0.663664        0.7
0.664665        0.700001
0.665666        0.700001
0.666667        0.700001
0.667668        0.700001
0.668669        0.700001
0.66967         0.700001
0.670671        0.700001
0.671672        0.700001
0.672673        0.700001
0.673674        0.700001
0.674675        0.700001
0.675676        0.700001
0.676677        0.700001
0.677678        0.700001
0.678679        0.700001
0.67968         0.700001
0.680681        0.700002
0.681682        0.700002
0.682683        0.700002
0.683684        0.700002
0.684685        0.700002
0.685686        0.700002
0.686687        0.700002
0.687688        0.700002
0.688689        0.700003
0.68969         0.700003
0.690691        0.700003
0.691692        0.700003
0.692693        0.700003
0.693694        0.700004
0.694695        0.700004
0.695696        0.700004
0.696697        0.700004
0.697698        0.700005
0.698699        0.700005
0.6997          0.700005
0.700701        0.700006
0.701702        0.700006
0.702703        0.700006
0.703704        0.700007
0.704705        0.700007
0.705706        0.700008
0.706707        0.700008
0.707708        0.700009
0.708709        0.700009
0.70971         0.70001
0.710711        0.700011
0.711712        0.700011
0.712713        0.700012
0.713714        0.700013
0.714715        0.700014
0.715716        0.700015
0.716717        0.700015
0.717718        0.700016
0.718719        0.700017
0.71972         0.700019
0.720721        0.700021
0.721722        0.700026
0.722723        0.700049
0.723724        0.700153
0.724725        0.700649
0.725726        0.703006
0.726727        0.713758
0.727728        0.755279
0.728729        0.8568
0.72973         0.959321
0.730731        0.935983
0.731732        0.819057
0.732733        0.736683
0.733734        0.708697
0.734735        0.702268
0.735736        0.702257
0.736737        0.708501
0.737738        0.73526
0.738739        0.813719
0.73974         0.927041
0.740741        0.953746
0.741742        0.857256
0.742743        0.75716
0.743744        0.714772
0.744745        0.703818
0.745746        0.703041
0.746747        0.710341
0.747748        0.740941
0.748749        0.824008
0.74975         0.930383
0.750751        0.940734
0.751752        0.840942
0.752753        0.749556
0.753754        0.712917
0.754755        0.703921
0.755756        0.705023
0.756757        0.718479
0.757758        0.766236
