#====================================================
#   t = 0.8     rho_bar = 0.7     Viscosity = 0#====================================================
#x              rho
#====================================================
0               0.73504
0.001001        0.785792
0.002002        0.875791
0.003003        0.925111
0.004004        0.871559
0.00500501      0.783051
0.00600601      0.736538
0.00700701      0.736989
0.00800801      0.782881
0.00900901      0.866811
0.01001         0.916261
0.011011        0.870146
0.012012        0.786738
0.013013        0.740954
0.014014        0.742266
0.015015        0.789035
0.016016        0.867769
0.017017        0.906907
0.018018        0.858496
0.019019        0.782248
0.02002         0.743652
0.021021        0.751165
0.022022        0.802765
0.023023        0.874183
0.024024        0.89451
0.025025        0.839302
0.026026        0.773357
0.027027        0.747139
0.028028        0.765389
0.029029        0.822407
0.03003         0.879603
0.031031        0.875295
0.032032        0.815828
0.033033        0.765103
0.034034        0.755211
0.035035        0.78644
0.036036        0.843159
0.037037        0.876007
0.038038        0.848318
0.039039        0.793789
0.04004         0.763198
0.041041        0.771451
0.042042        0.811933
0.043043        0.855272
0.044044        0.858181
0.045045        0.819182
0.046046        0.78082
0.047047        0.772263
0.048048        0.794876
0.049049        0.831515
0.0500501       0.849383
0.0510511       0.831226
0.0520521       0.798806
0.0530531       0.782156
0.0540541       0.790502
0.0550551       0.814575
0.0560561       0.833258
0.0570571       0.829556
0.0580581       0.809659
0.0590591       0.7938
0.0600601       0.793549
0.0610611       0.805925
0.0620621       0.818884
0.0630631       0.820972
0.0640641       0.811888
0.0650651       0.80146
0.0660661       0.798239
0.0670671       0.80281
0.0680681       0.809565
0.0690691       0.81221
0.0700701       0.809092
0.0710711       0.803837
0.0720721       0.800939
0.0730731       0.801771
0.0740741       0.804388
0.0750751       0.805915
0.0760761       0.805068
0.0770771       0.802832
0.0780781       0.80105
0.0790791       0.800675
0.0800801       0.801271
0.0810811       0.801759
0.0820821       0.801455
0.0830831       0.800501
0.0840841       0.799514
0.0850851       0.798948
0.0860861       0.798788
0.0870871       0.798706
0.0880881       0.798414
0.0890891       0.797878
0.0900901       0.797266
0.0910911       0.796751
0.0920921       0.796374
0.0930931       0.796058
0.0940941       0.795701
0.0950951       0.795268
0.0960961       0.794793
0.0970971       0.794332
0.0980981       0.793911
0.0990991       0.793517
0.1001          0.79312
0.101101        0.792703
0.102102        0.792269
0.103103        0.791833
0.104104        0.791409
0.105105        0.790994
0.106106        0.790581
0.107107        0.790162
0.108108        0.789738
0.109109        0.789313
0.11011         0.78889
0.111111        0.78847
0.112112        0.788052
0.113113        0.787632
0.114114        0.78721
0.115115        0.786788
0.116116        0.786367
0.117117        0.785946
0.118118        0.785526
0.119119        0.785106
0.12012         0.784685
0.121121        0.784265
0.122122        0.783844
0.123123        0.783424
0.124124        0.783004
0.125125        0.782584
0.126126        0.782164
0.127127        0.781744
0.128128        0.781325
0.129129        0.780905
0.13013         0.780486
0.131131        0.780067
0.132132        0.779647
0.133133        0.779228
0.134134        0.77881
0.135135        0.778391
0.136136        0.777973
0.137137        0.777554
0.138138        0.777136
0.139139        0.776718
0.14014         0.776301
0.141141        0.775883
0.142142        0.775466
0.143143        0.775049
0.144144        0.774632
0.145145        0.774215
0.146146        0.773799
0.147147        0.773382
0.148148        0.772966
0.149149        0.772551
0.15015         0.772135
0.151151        0.77172
0.152152        0.771305
0.153153        0.77089
0.154154        0.770476
0.155155        0.770062
0.156156        0.769648
0.157157        0.769234
0.158158        0.768821
0.159159        0.768408
0.16016         0.767995
0.161161        0.767583
0.162162        0.767171
0.163163        0.766759
0.164164        0.766348
0.165165        0.765937
0.166166        0.765526
0.167167        0.765116
0.168168        0.764706
0.169169        0.764296
0.17017         0.763887
0.171171        0.763478
0.172172        0.76307
0.173173        0.762662
0.174174        0.762254
0.175175        0.761847
0.176176        0.76144
0.177177        0.761033
0.178178        0.760627
0.179179        0.760221
0.18018         0.759816
0.181181        0.759411
0.182182        0.759007
0.183183        0.758603
0.184184        0.7582
0.185185        0.757797
0.186186        0.757394
0.187187        0.756993
0.188188        0.756591
0.189189        0.75619
0.19019         0.75579
0.191191        0.75539
0.192192        0.75499
0.193193        0.754591
0.194194        0.754193
0.195195        0.753795
0.196196        0.753398
0.197197        0.753001
0.198198        0.752605
0.199199        0.752209
0.2002          0.751814
0.201201        0.75142
0.202202        0.751026
0.203203        0.750633
0.204204        0.75024
0.205205        0.749848
0.206206        0.749457
0.207207        0.749066
0.208208        0.748676
0.209209        0.748286
0.21021         0.747898
0.211211        0.747509
0.212212        0.747122
0.213213        0.746735
0.214214        0.746349
0.215215        0.745964
0.216216        0.745579
0.217217        0.745195
0.218218        0.744812
0.219219        0.74443
0.22022         0.744048
0.221221        0.743667
0.222222        0.743287
0.223223        0.742908
0.224224        0.742529
0.225225        0.742151
0.226226        0.741775
0.227227        0.741398
0.228228        0.741023
0.229229        0.740649
0.23023         0.740275
0.231231        0.739902
0.232232        0.739531
0.233233        0.73916
0.234234        0.73879
0.235235        0.73842
0.236236        0.738052
0.237237        0.737685
0.238238        0.737318
0.239239        0.736953
0.24024         0.736589
0.241241        0.736225
0.242242        0.735863
0.243243        0.735501
0.244244        0.735141
0.245245        0.734781
0.246246        0.734423
0.247247        0.734066
0.248248        0.733709
0.249249        0.733354
0.25025         0.733
0.251251        0.732647
0.252252        0.732295
0.253253        0.731944
0.254254        0.731595
0.255255        0.731246
0.256256        0.730899
0.257257        0.730553
0.258258        0.730208
0.259259        0.729864
0.26026         0.729522
0.261261        0.729181
0.262262        0.728841
0.263263        0.728502
0.264264        0.728165
0.265265        0.727829
0.266266        0.727494
0.267267        0.72716
0.268268        0.726828
0.269269        0.726497
0.27027         0.726168
0.271271        0.72584
0.272272        0.725514
0.273273        0.725189
0.274274        0.724865
0.275275        0.724543
0.276276        0.724222
0.277277        0.723903
0.278278        0.723585
0.279279        0.723269
0.28028         0.722954
0.281281        0.722641
0.282282        0.72233
0.283283        0.72202
0.284284        0.721712
0.285285        0.721405
0.286286        0.7211
0.287287        0.720797
0.288288        0.720495
0.289289        0.720196
0.29029         0.719897
0.291291        0.719601
0.292292        0.719307
0.293293        0.719014
0.294294        0.718723
0.295295        0.718434
0.296296        0.718146
0.297297        0.717861
0.298298        0.717577
0.299299        0.717296
0.3003          0.717016
0.301301        0.716738
0.302302        0.716463
0.303303        0.716189
0.304304        0.715917
0.305305        0.715647
0.306306        0.71538
0.307307        0.715114
0.308308        0.71485
0.309309        0.714589
0.31031         0.71433
0.311311        0.714072
0.312312        0.713817
0.313313        0.713565
0.314314        0.713314
0.315315        0.713066
0.316316        0.71282
0.317317        0.712576
0.318318        0.712334
0.319319        0.712095
0.32032         0.711858
0.321321        0.711624
0.322322        0.711391
0.323323        0.711161
0.324324        0.710934
0.325325        0.710709
0.326326        0.710486
0.327327        0.710266
0.328328        0.710049
0.329329        0.709833
0.33033         0.709621
0.331331        0.709411
0.332332        0.709203
0.333333        0.708998
0.334334        0.708795
0.335335        0.708595
0.336336        0.708398
0.337337        0.708203
0.338338        0.708011
0.339339        0.707821
0.34034         0.707635
0.341341        0.70745
0.342342        0.707269
0.343343        0.70709
0.344344        0.706913
0.345345        0.70674
0.346346        0.706569
0.347347        0.7064
0.348348        0.706235
0.349349        0.706072
0.35035         0.705912
0.351351        0.705754
0.352352        0.705599
0.353353        0.705447
0.354354        0.705298
0.355355        0.705151
0.356356        0.705007
0.357357        0.704865
0.358358        0.704727
0.359359        0.704591
0.36036         0.704457
0.361361        0.704326
0.362362        0.704198
0.363363        0.704073
