#====================================================
#       t = 0.8
#====================================================
#x              rho
#====================================================
0               0.5
0.01            0.5
0.02            0.5
0.03            0.5
0.04            0.5
0.05            0.5
0.06            0.5
0.07            0.5
0.08            0.5
0.09            0.5
0.1             0.5
0.11            0.5
0.12            0.5
0.13            0.5
0.14            0.5
0.15            0.5
0.16            0.5
0.17            0.5
0.18            0.5
0.19            0.5
0.2             0.5
0.21            0.5
0.22            0.5
0.23            0.5
0.24            0.500001
0.25            0.500001
0.26            0.500002
0.27            0.500003
0.28            0.500004
0.29            0.500006
0.3             0.500009
0.31            0.500014
0.32            0.50002
0.33            0.500028
0.34            0.500039
0.35            0.500053
0.36            0.50007
0.37            0.500092
0.38            0.500118
0.39            0.500149
0.4             0.500184
0.41            0.500222
0.42            0.500264
0.43            0.500306
0.44            0.500349
0.45            0.500389
0.46            0.500426
0.47            0.500457
0.48            0.50048
0.49            0.500495
0.5             0.5005
0.51            0.500495
0.52            0.50048
0.53            0.500457
0.54            0.500426
0.55            0.500389
0.56            0.500349
0.57            0.500306
0.58            0.500264
0.59            0.500222
0.6             0.500184
0.61            0.500149
0.62            0.500118
0.63            0.500092
0.64            0.50007
0.65            0.500053
0.66            0.500039
0.67            0.500028
0.68            0.50002
0.69            0.500014
0.7             0.500009
0.71            0.500006
0.72            0.500004
0.73            0.500003
0.74            0.500002
0.75            0.500001
0.76            0.500001
0.77            0.5
0.78            0.5
0.79            0.5
0.8             0.5
0.81            0.5
0.82            0.5
0.83            0.5
0.84            0.5
0.85            0.5
0.86            0.5
0.87            0.5
0.88            0.5
0.89            0.5
0.9             0.5
0.91            0.5
0.92            0.5
0.93            0.5
0.94            0.5
0.95            0.5
0.96            0.5
0.97            0.5
0.98            0.5
0.99            0.5
1               0.5
