#====================================================
#       t = 0.01
#====================================================
#x              rho
#====================================================
0               0.6
0.01            0.6
0.02            0.6
0.03            0.6
0.04            0.6
0.05            0.6
0.06            0.6
0.07            0.6
0.08            0.6
0.09            0.6
0.1             0.6
0.11            0.6
0.12            0.6
0.13            0.6
0.14            0.6
0.15            0.6
0.16            0.6
0.17            0.6
0.18            0.6
0.19            0.6
0.2             0.6
0.21            0.6
0.22            0.6
0.23            0.6
0.24            0.600001
0.25            0.600001
0.26            0.600002
0.27            0.600003
0.28            0.600004
0.29            0.600007
0.3             0.60001
0.31            0.600015
0.32            0.600021
0.33            0.60003
0.34            0.600041
0.35            0.600056
0.36            0.600075
0.37            0.600097
0.38            0.600124
0.39            0.600156
0.4             0.600191
0.41            0.600231
0.42            0.600272
0.43            0.600315
0.44            0.600357
0.45            0.600397
0.46            0.600433
0.47            0.600462
0.48            0.600484
0.49            0.600497
0.5             0.6005
0.51            0.600493
0.52            0.600476
0.53            0.600451
0.54            0.600419
0.55            0.600382
0.56            0.60034
0.57            0.600298
0.58            0.600255
0.59            0.600214
0.6             0.600177
0.61            0.600143
0.62            0.600113
0.63            0.600087
0.64            0.600067
0.65            0.60005
0.66            0.600036
0.67            0.600026
0.68            0.600018
0.69            0.600013
0.7             0.600008
0.71            0.600006
0.72            0.600004
0.73            0.600002
0.74            0.600001
0.75            0.600001
0.76            0.600001
0.77            0.6
0.78            0.6
0.79            0.6
0.8             0.6
0.81            0.6
0.82            0.6
0.83            0.6
0.84            0.6
0.85            0.6
0.86            0.6
0.87            0.6
0.88            0.6
0.89            0.6
0.9             0.6
0.91            0.6
0.92            0.6
0.93            0.6
0.94            0.6
0.95            0.6
0.96            0.6
0.97            0.6
0.98            0.6
0.99            0.6
1               0.6
