#====================================================
#t = 1       rho_bar = 0.7     Viscosity = 0.165
#====================================================
#x              rho
#====================================================
0               0.787018
0.001001        0.786659
0.002002        0.7863
0.003003        0.785941
0.004004        0.785581
0.00500501      0.785222
0.00600601      0.784863
0.00700701      0.784504
0.00800801      0.784145
0.00900901      0.783786
0.01001         0.783428
0.011011        0.783069
0.012012        0.78271
0.013013        0.782351
0.014014        0.781993
0.015015        0.781634
0.016016        0.781276
0.017017        0.780917
0.018018        0.780559
0.019019        0.780201
0.02002         0.779843
0.021021        0.779485
0.022022        0.779127
0.023023        0.778769
0.024024        0.778411
0.025025        0.778054
0.026026        0.777696
0.027027        0.777339
0.028028        0.776981
0.029029        0.776624
0.03003         0.776267
0.031031        0.77591
0.032032        0.775553
0.033033        0.775197
0.034034        0.77484
0.035035        0.774484
0.036036        0.774127
0.037037        0.773771
0.038038        0.773415
0.039039        0.773059
0.04004         0.772704
0.041041        0.772348
0.042042        0.771993
0.043043        0.771637
0.044044        0.771282
0.045045        0.770927
0.046046        0.770573
0.047047        0.770218
0.048048        0.769864
0.049049        0.769509
0.0500501       0.769155
0.0510511       0.768801
0.0520521       0.768448
0.0530531       0.768094
0.0540541       0.767741
0.0550551       0.767388
0.0560561       0.767035
0.0570571       0.766682
0.0580581       0.76633
0.0590591       0.765978
0.0600601       0.765626
0.0610611       0.765274
0.0620621       0.764922
0.0630631       0.764571
0.0640641       0.76422
0.0650651       0.763869
0.0660661       0.763518
0.0670671       0.763168
0.0680681       0.762817
0.0690691       0.762467
0.0700701       0.762118
0.0710711       0.761768
0.0720721       0.761419
0.0730731       0.76107
0.0740741       0.760722
0.0750751       0.760373
0.0760761       0.760025
0.0770771       0.759677
0.0780781       0.75933
0.0790791       0.758983
0.0800801       0.758636
0.0810811       0.758289
0.0820821       0.757943
0.0830831       0.757597
0.0840841       0.757251
0.0850851       0.756905
0.0860861       0.75656
0.0870871       0.756215
0.0880881       0.755871
0.0890891       0.755527
0.0900901       0.755183
0.0910911       0.75484
0.0920921       0.754496
0.0930931       0.754154
0.0940941       0.753811
0.0950951       0.753469
0.0960961       0.753127
0.0970971       0.752786
0.0980981       0.752445
0.0990991       0.752104
0.1001          0.751764
0.101101        0.751424
0.102102        0.751085
0.103103        0.750745
0.104104        0.750407
0.105105        0.750068
0.106106        0.749731
0.107107        0.749393
0.108108        0.749056
0.109109        0.748719
0.11011         0.748383
0.111111        0.748047
0.112112        0.747712
0.113113        0.747377
0.114114        0.747042
0.115115        0.746708
0.116116        0.746375
0.117117        0.746042
0.118118        0.745709
0.119119        0.745377
0.12012         0.745045
0.121121        0.744714
0.122122        0.744383
0.123123        0.744053
