#====================================================
#t = 0.4     rho_bar = 0.7     Viscosity = 0.16
#====================================================
#x              rho
#====================================================
0               0.700002
0.001001        0.700002
0.002002        0.700002
0.003003        0.700002
0.004004        0.700002
0.00500501      0.700002
0.00600601      0.700002
0.00700701      0.700003
0.00800801      0.700003
0.00900901      0.700003
0.01001         0.700003
0.011011        0.700003
0.012012        0.700004
0.013013        0.700004
0.014014        0.700004
0.015015        0.700004
0.016016        0.700005
0.017017        0.700005
0.018018        0.700005
0.019019        0.700006
0.02002         0.700006
0.021021        0.700006
0.022022        0.700007
0.023023        0.700007
0.024024        0.700008
0.025025        0.700008
0.026026        0.700009
0.027027        0.700009
0.028028        0.70001
0.029029        0.70001
0.03003         0.700011
0.031031        0.700012
0.032032        0.700013
0.033033        0.700013
0.034034        0.700014
0.035035        0.700015
0.036036        0.700016
0.037037        0.700017
0.038038        0.700018
0.039039        0.700019
0.04004         0.70002
0.041041        0.700022
0.042042        0.700023
0.043043        0.700024
0.044044        0.700026
0.045045        0.700027
0.046046        0.700029
0.047047        0.700031
0.048048        0.700033
0.049049        0.700034
0.0500501       0.700037
0.0510511       0.700039
0.0520521       0.700041
0.0530531       0.700043
0.0540541       0.700046
0.0550551       0.700049
0.0560561       0.700051
0.0570571       0.700054
0.0580581       0.700057
0.0590591       0.700061
0.0600601       0.700064
0.0610611       0.700068
0.0620621       0.700072
0.0630631       0.700076
0.0640641       0.70008
0.0650651       0.700085
0.0660661       0.700089
0.0670671       0.700094
0.0680681       0.7001
0.0690691       0.700105
0.0700701       0.700111
0.0710711       0.700117
0.0720721       0.700124
0.0730731       0.70013
0.0740741       0.700137
0.0750751       0.700145
0.0760761       0.700153
0.0770771       0.700161
0.0780781       0.70017
0.0790791       0.700179
0.0800801       0.700188
0.0810811       0.700198
0.0820821       0.700209
0.0830831       0.70022
0.0840841       0.700231
0.0850851       0.700243
0.0860861       0.700256
0.0870871       0.700269
0.0880881       0.700283
0.0890891       0.700298
0.0900901       0.700313
0.0910911       0.700329
0.0920921       0.700346
0.0930931       0.700364
0.0940941       0.700382
0.0950951       0.700402
0.0960961       0.700422
0.0970971       0.700443
0.0980981       0.700465
0.0990991       0.700488
0.1001          0.700513
0.101101        0.700538
0.102102        0.700565
0.103103        0.700592
0.104104        0.700621
0.105105        0.700652
0.106106        0.700684
0.107107        0.700717
0.108108        0.700751
0.109109        0.700788
0.11011         0.700825
0.111111        0.700865
0.112112        0.700906
0.113113        0.700949
0.114114        0.700995
0.115115        0.701042
0.116116        0.701091
0.117117        0.701142
0.118118        0.701196
0.119119        0.701252
0.12012         0.70131
0.121121        0.701371
0.122122        0.701434
0.123123        0.701501
0.124124        0.70157
0.125125        0.701642
0.126126        0.701717
0.127127        0.701796
0.128128        0.701878
0.129129        0.701963
0.13013         0.702052
0.131131        0.702145
0.132132        0.702243
0.133133        0.702344
0.134134        0.702449
0.135135        0.702559
0.136136        0.702674
0.137137        0.702794
0.138138        0.702919
0.139139        0.703049
0.14014         0.703185
0.141141        0.703327
0.142142        0.703475
0.143143        0.703629
0.144144        0.70379
0.145145        0.703958
0.146146        0.704134
0.147147        0.704317
0.148148        0.704508
0.149149        0.704708
0.15015         0.704916
0.151151        0.705134
0.152152        0.705361
0.153153        0.705599
0.154154        0.705847
0.155155        0.706107
0.156156        0.706378
0.157157        0.706662
0.158158        0.706959
0.159159        0.70727
0.16016         0.707596
0.161161        0.707938
0.162162        0.708296
0.163163        0.708671
0.164164        0.709065
0.165165        0.709479
0.166166        0.709914
0.167167        0.710371
0.168168        0.710852
0.169169        0.711359
0.17017         0.711894
0.171171        0.712458
0.172172        0.713055
0.173173        0.713686
0.174174        0.714355
0.175175        0.715065
0.176176        0.715821
0.177177        0.716626
0.178178        0.717487
0.179179        0.718409
0.18018         0.7194
0.181181        0.72047
0.182182        0.72163
0.183183        0.722895
0.184184        0.724283
0.185185        0.725821
0.186186        0.727542
0.187187        0.729497
0.188188        0.731756
0.189189        0.734422
0.19019         0.737647
0.191191        0.741648
0.192192        0.746725
0.193193        0.753244
0.194194        0.761565
0.195195        0.771861
0.196196        0.783849
0.197197        0.7966
0.198198        0.808701
0.199199        0.818831
0.2002          0.826364
0.201201        0.831508
0.202202        0.834944
0.203203        0.837366
0.204204        0.839232
0.205205        0.840774
0.206206        0.842083
0.207207        0.8432
0.208208        0.844154
0.209209        0.844968
0.21021         0.845665
0.211211        0.846261
0.212212        0.846769
0.213213        0.847201
0.214214        0.847566
0.215215        0.84787
0.216216        0.848119
0.217217        0.848319
0.218218        0.848474
0.219219        0.848588
0.22022         0.848664
0.221221        0.848706
0.222222        0.848715
0.223223        0.848695
0.224224        0.848646
0.225225        0.848572
0.226226        0.848473
0.227227        0.848352
0.228228        0.848209
0.229229        0.848046
0.23023         0.847863
0.231231        0.847663
0.232232        0.847446
0.233233        0.847213
0.234234        0.846964
0.235235        0.8467
0.236236        0.846423
0.237237        0.846132
0.238238        0.845829
0.239239        0.845514
0.24024         0.845187
0.241241        0.844849
0.242242        0.8445
0.243243        0.844142
0.244244        0.843773
0.245245        0.843395
0.246246        0.843008
0.247247        0.842613
0.248248        0.842209
0.249249        0.841797
0.25025         0.841378
0.251251        0.840951
0.252252        0.840517
0.253253        0.840076
0.254254        0.839628
0.255255        0.839174
0.256256        0.838714
0.257257        0.838248
0.258258        0.837776
0.259259        0.837298
0.26026         0.836815
0.261261        0.836326
0.262262        0.835833
0.263263        0.835335
0.264264        0.834831
0.265265        0.834324
0.266266        0.833811
0.267267        0.833295
0.268268        0.832774
0.269269        0.832249
0.27027         0.83172
0.271271        0.831187
0.272272        0.830651
0.273273        0.830111
0.274274        0.829568
0.275275        0.829021
0.276276        0.828471
0.277277        0.827917
0.278278        0.827361
0.279279        0.826801
0.28028         0.826239
0.281281        0.825674
0.282282        0.825106
0.283283        0.824535
0.284284        0.823962
0.285285        0.823387
0.286286        0.822808
0.287287        0.822228
0.288288        0.821645
0.289289        0.82106
0.29029         0.820473
0.291291        0.819884
0.292292        0.819293
0.293293        0.8187
0.294294        0.818105
0.295295        0.817508
0.296296        0.816909
