#====================================================
#   t = 0.4     rho_bar = 0.7     Viscosity = 0.1#====================================================
#x              rho
#====================================================
0               0.700002
0.001001        0.700002
0.002002        0.700002
0.003003        0.700002
0.004004        0.700002
0.00500501      0.700002
0.00600601      0.700002
0.00700701      0.700002
0.00800801      0.700003
0.00900901      0.700003
0.01001         0.700003
0.011011        0.700003
0.012012        0.700003
0.013013        0.700004
0.014014        0.700004
0.015015        0.700004
0.016016        0.700004
0.017017        0.700005
0.018018        0.700005
0.019019        0.700005
0.02002         0.700006
0.021021        0.700006
0.022022        0.700007
0.023023        0.700007
0.024024        0.700007
0.025025        0.700008
0.026026        0.700008
0.027027        0.700009
0.028028        0.700009
0.029029        0.70001
0.03003         0.700011
0.031031        0.700011
0.032032        0.700012
0.033033        0.700013
0.034034        0.700014
0.035035        0.700015
0.036036        0.700015
0.037037        0.700016
0.038038        0.700017
0.039039        0.700019
0.04004         0.70002
0.041041        0.700021
0.042042        0.700022
0.043043        0.700024
0.044044        0.700025
0.045045        0.700026
0.046046        0.700028
0.047047        0.70003
0.048048        0.700032
0.049049        0.700033
0.0500501       0.700035
0.0510511       0.700038
0.0520521       0.70004
0.0530531       0.700042
0.0540541       0.700045
0.0550551       0.700047
0.0560561       0.70005
0.0570571       0.700053
0.0580581       0.700056
0.0590591       0.700059
0.0600601       0.700062
0.0610611       0.700066
0.0620621       0.70007
0.0630631       0.700074
0.0640641       0.700078
0.0650651       0.700082
0.0660661       0.700087
0.0670671       0.700092
0.0680681       0.700097
0.0690691       0.700102
0.0700701       0.700108
0.0710711       0.700114
0.0720721       0.70012
0.0730731       0.700127
0.0740741       0.700134
0.0750751       0.700141
0.0760761       0.700149
0.0770771       0.700157
0.0780781       0.700165
0.0790791       0.700174
0.0800801       0.700184
0.0810811       0.700193
0.0820821       0.700204
0.0830831       0.700215
0.0840841       0.700226
0.0850851       0.700238
0.0860861       0.70025
0.0870871       0.700263
0.0880881       0.700277
0.0890891       0.700291
0.0900901       0.700306
0.0910911       0.700322
0.0920921       0.700339
0.0930931       0.700356
0.0940941       0.700374
0.0950951       0.700393
0.0960961       0.700413
0.0970971       0.700434
0.0980981       0.700456
0.0990991       0.700478
0.1001          0.700502
0.101101        0.700527
0.102102        0.700553
0.103103        0.700581
0.104104        0.700609
0.105105        0.700639
0.106106        0.70067
0.107107        0.700703
0.108108        0.700737
0.109109        0.700772
0.11011         0.70081
0.111111        0.700849
0.112112        0.700889
0.113113        0.700932
0.114114        0.700976
0.115115        0.701022
0.116116        0.701071
0.117117        0.701121
0.118118        0.701174
0.119119        0.701229
0.12012         0.701286
0.121121        0.701346
0.122122        0.701409
0.123123        0.701474
0.124124        0.701542
0.125125        0.701613
0.126126        0.701688
0.127127        0.701765
0.128128        0.701846
0.129129        0.70193
0.13013         0.702018
0.131131        0.702109
0.132132        0.702205
0.133133        0.702305
0.134134        0.702409
0.135135        0.702517
0.136136        0.70263
0.137137        0.702748
0.138138        0.702871
0.139139        0.702999
0.14014         0.703133
0.141141        0.703273
0.142142        0.703419
0.143143        0.703571
0.144144        0.703729
0.145145        0.703895
0.146146        0.704067
0.147147        0.704248
0.148148        0.704436
0.149149        0.704632
0.15015         0.704837
0.151151        0.705051
0.152152        0.705275
0.153153        0.705509
0.154154        0.705753
0.155155        0.706008
0.156156        0.706275
0.157157        0.706554
0.158158        0.706846
0.159159        0.707152
0.16016         0.707471
0.161161        0.707807
0.162162        0.708158
0.163163        0.708526
0.164164        0.708912
0.165165        0.709317
0.166166        0.709743
0.167167        0.71019
0.168168        0.710661
0.169169        0.711156
0.17017         0.711678
0.171171        0.712229
0.172172        0.71281
0.173173        0.713424
0.174174        0.714074
0.175175        0.714764
0.176176        0.715496
0.177177        0.716274
0.178178        0.717104
0.179179        0.717992
0.18018         0.718942
0.181181        0.719965
0.182182        0.721068
0.183183        0.722264
0.184184        0.723568
0.185185        0.724999
0.186186        0.726583
0.187187        0.728358
0.188188        0.730375
0.189189        0.732715
0.19019         0.735499
0.191191        0.73892
0.192192        0.743281
0.193193        0.749033
0.194194        0.756784
0.195195        0.767171
0.196196        0.780464
0.197197        0.795918
0.198198        0.811416
0.199199        0.8242
0.2002          0.832549
0.201201        0.836802
0.202202        0.838674
0.203203        0.839804
0.204204        0.840979
0.205205        0.842272
0.206206        0.8435
0.207207        0.844538
0.208208        0.845379
0.209209        0.846074
0.21021         0.846667
0.211211        0.847182
0.212212        0.847626
0.213213        0.848002
0.214214        0.848316
0.215215        0.848574
0.216216        0.848782
0.217217        0.848945
0.218218        0.849066
0.219219        0.84915
0.22022         0.849198
0.221221        0.849214
0.222222        0.849199
0.223223        0.849156
0.224224        0.849088
0.225225        0.848994
0.226226        0.848878
0.227227        0.848739
0.228228        0.848581
0.229229        0.848403
0.23023         0.848207
0.231231        0.847994
0.232232        0.847764
0.233233        0.847519
0.234234        0.847259
0.235235        0.846984
0.236236        0.846697
0.237237        0.846397
0.238238        0.846084
0.239239        0.84576
0.24024         0.845425
0.241241        0.845079
0.242242        0.844722
0.243243        0.844356
0.244244        0.843981
0.245245        0.843596
0.246246        0.843203
0.247247        0.842801
0.248248        0.842391
0.249249        0.841973
0.25025         0.841548
0.251251        0.841116
0.252252        0.840676
0.253253        0.84023
0.254254        0.839778
0.255255        0.839319
0.256256        0.838854
0.257257        0.838383
0.258258        0.837906
0.259259        0.837424
0.26026         0.836937
0.261261        0.836445
0.262262        0.835947
0.263263        0.835445
0.264264        0.834938
0.265265        0.834427
0.266266        0.833911
0.267267        0.833391
0.268268        0.832867
0.269269        0.832339
0.27027         0.831807
0.271271        0.831271
0.272272        0.830732
0.273273        0.830189
0.274274        0.829643
0.275275        0.829093
0.276276        0.82854
0.277277        0.827984
0.278278        0.827425
0.279279        0.826863
0.28028         0.826298
0.281281        0.825731
0.282282        0.82516
0.283283        0.824587
0.284284        0.824012
0.285285        0.823434
0.286286        0.822854
0.287287        0.822271
0.288288        0.821687
0.289289        0.8211
0.29029         0.82051
0.291291        0.819919
0.292292        0.819326
0.293293        0.818731
0.294294        0.818134
0.295295        0.817536
0.296296        0.816935
